Region,Level,Item,production
EU27,Activity,Activities auxiliary to financial intermediation (67),173197.39439993
EU27,Activity,Activities of membership organisation n.e.c. (91),216563.8518059
EU27,Activity,Air transport (62),129335.01430231
EU27,Activity,Aluminium production,2347527.123
EU27,Activity,Animal products nec,155933.723
EU27,Activity,"Biogasification of food waste, incl. land application",1097629.4757537441
EU27,Activity,"Biogasification of paper, incl. land application",158340.80841032998
EU27,Activity,"Biogasification of sewage slugde, incl. land application",3805157.543373828
EU27,Activity,Casting of metals,12976909.79575092
EU27,Activity,Cattle farming,3916771.2673359
EU27,Activity,Chemicals nec,115063662.2165987
EU27,Activity,"Collection, purification and distribution of water (41)",49254.478347774
EU27,Activity,"Composting of food waste, incl. land application",14979716.76805147
EU27,Activity,"Composting of paper and wood, incl. land application",66156.160864031
EU27,Activity,Computer and related activities (72),379673.7402615
EU27,Activity,Construction (45),1696301.38398
EU27,Activity,Copper production,1999781.895170481
EU27,Activity,Cultivation of cereal grains nec,124644839.87178
EU27,Activity,Cultivation of crops nec,372965.5668412
EU27,Activity,Cultivation of oil seeds,24203483.259549998
EU27,Activity,Cultivation of paddy rice,2649797.65
EU27,Activity,Cultivation of plant-based fibers,1066127.6081
EU27,Activity,"Cultivation of sugar cane, sugar beet",26163829.80875
EU27,Activity,"Cultivation of vegetables, fruit, nuts",46834899.120671
EU27,Activity,Cultivation of wheat,104985554.11
EU27,Activity,Distribution and trade of electricity,142214.0674925
EU27,Activity,Distribution of gaseous fuels through mains,120466.894303155
EU27,Activity,Education (80),703784.5199444
EU27,Activity,Extra-territorial organizations and bodies,0.0
EU27,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",27979255.294439998
EU27,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",105147254.574566
EU27,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
EU27,Activity,"Financial intermediation, except insurance and pension funding (65)",584580.9725915
EU27,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",998277.2999999999
EU27,Activity,"Forestry, logging and related service activities (02)",256613060.51663
EU27,Activity,Health and social work (85),1291085.7813201
EU27,Activity,Hotels and restaurants (55),704930.0732892
EU27,Activity,Incineration of waste: Food,6868060.095378112
EU27,Activity,Incineration of waste: Metals and Inert materials,260682738.5877806
EU27,Activity,Incineration of waste: Oil/Hazardous waste,8392571.236320496
EU27,Activity,Incineration of waste: Paper,6415255.92324034
EU27,Activity,Incineration of waste: Plastic,31887450.648216162
EU27,Activity,Incineration of waste: Textiles,2126177.865428276
EU27,Activity,Incineration of waste: Wood,16377090.665741872
EU27,Activity,Inland water transport,6772.564829143
EU27,Activity,"Insurance and pension funding, except compulsory social security (66)",225428.2452503
EU27,Activity,Landfill of waste: Food,14918414.519111726
EU27,Activity,Landfill of waste: Inert/metal/hazardous,1088720829.8171
EU27,Activity,Landfill of waste: Paper,6049901.3956254
EU27,Activity,Landfill of waste: Plastic,17592355.647347
EU27,Activity,Landfill of waste: Textiles,1606053.4297492
EU27,Activity,Landfill of waste: Wood,8400164.64971582
EU27,Activity,"Lead, zinc and tin production",3451221.25035595
EU27,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,363616253.36367995
EU27,Activity,Manufacture of beverages,9898129.458329
EU27,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",30970298.367625795
EU27,Activity,"Manufacture of cement, lime and plaster",91742850.097
EU27,Activity,Manufacture of ceramic goods,10182380.513877999
EU27,Activity,Manufacture of coke oven products,49827921.068377
EU27,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),32694344.52916446
EU27,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",110672573.40706289
EU27,Activity,Manufacture of fish products,393352.398779528
EU27,Activity,Manufacture of furniture; manufacturing n.e.c. (36),27137008.0699467
EU27,Activity,Manufacture of gas;,618702.842358
EU27,Activity,Manufacture of glass and glass products,28523290.095278855
EU27,Activity,Manufacture of machinery and equipment n.e.c. (29),73054933.08217329
EU27,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",8082171.882958364
EU27,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",651380.205091101
EU27,Activity,Manufacture of office machinery and computers (30),1531565.605473928
EU27,Activity,Manufacture of other non-metallic mineral products n.e.c.,72740807.3989395
EU27,Activity,Manufacture of other transport equipment (35),183892.47834529998
EU27,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7128517.3329211
EU27,Activity,Manufacture of rubber and plastic products (25),18948735.17861098
EU27,Activity,Manufacture of textiles (17),1961835.078793745
EU27,Activity,Manufacture of tobacco products (16),441844.2368
EU27,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),627980.697334404
EU27,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",61299613.2962123
EU27,Activity,"Manure treatment (biogas), storage and land application",0.0
EU27,Activity,"Manure treatment (conventional), storage and land application",183920280.64097622
EU27,Activity,Meat animals nec,917292.3714756299
EU27,Activity,Mining of aluminium ores and concentrates,639802.466782
EU27,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",114440593.1
EU27,Activity,Mining of coal and lignite; extraction of peat (10),556130765.499127
EU27,Activity,Mining of copper ores and concentrates,796475.0
EU27,Activity,Mining of iron ores,19846539.3948
EU27,Activity,"Mining of lead, zinc and tin ores and concentrates",954696.0
EU27,Activity,Mining of nickel ores and concentrates,40844.0
EU27,Activity,Mining of other non-ferrous metal ores and concentrates,328741.94
EU27,Activity,Mining of precious metal ores and concentrates,1732.426
EU27,Activity,Mining of uranium and thorium ores (12),381.0
EU27,Activity,N-fertiliser,10769600.0
EU27,Activity,Other business activities (74),1546289.8751658
EU27,Activity,Other land transport,471804.1862851
EU27,Activity,Other non-ferrous metal production,1818872.3988254
EU27,Activity,Other service activities (93),130182.1179883
EU27,Activity,P- and other fertiliser,5715700.0
EU27,Activity,Paper,27365412.30365878
EU27,Activity,Petroleum Refinery,675621846.107491
EU27,Activity,Pigs farming,14538592.029844001
EU27,Activity,"Plastics, basic",52432649.02514079
EU27,Activity,Post and telecommunications (64),508748.9869846
EU27,Activity,Poultry farming,8338571.2847019
EU27,Activity,Precious metals production,1896.100256864
EU27,Activity,Private households with employed persons (95),69855.281038704
EU27,Activity,Processed rice,2097845.3375
EU27,Activity,Processing of Food products nec,87998437.733749
EU27,Activity,Processing of dairy products,15353703.6232
EU27,Activity,Processing of meat cattle,3085528.96134
EU27,Activity,Processing of meat pigs,13217124.66
EU27,Activity,Processing of meat poultry,3937516.6160000004
EU27,Activity,Processing of nuclear fuel,8669095.0
EU27,Activity,Processing vegetable oils and fats,47468574.89970004
EU27,Activity,Production of electricity by Geothermal,20542.183980905
EU27,Activity,Production of electricity by biomass and waste,129113.28078557999
EU27,Activity,Production of electricity by coal,2423679.548362
EU27,Activity,Production of electricity by gas,1721022.8639349
EU27,Activity,Production of electricity by hydro,1100095.3899
EU27,Activity,Production of electricity by nuclear,3017105.8000000003
EU27,Activity,Production of electricity by petroleum and other oil derivatives,219560.16343972698
EU27,Activity,Production of electricity by solar photovoltaic,161014.0476
EU27,Activity,Production of electricity by solar thermal,4659.25
EU27,Activity,"Production of electricity by tide, wave, ocean",1922.724
EU27,Activity,Production of electricity by wind,589485.52279
EU27,Activity,Production of electricity nec,2881.0660000000003
EU27,Activity,Production of meat products nec,720114.0252
EU27,Activity,Public administration and defence; compulsory social security (75),977850.7536774
EU27,Activity,"Publishing, printing and reproduction of recorded media (22)",2533084.688177933
EU27,Activity,Pulp,31476403.970823597
EU27,Activity,Quarrying of sand and clay,1513549706.0
EU27,Activity,Quarrying of stone,1192830749.179
EU27,Activity,Raw milk,17496649.702022366
EU27,Activity,Re-processing of ash into clinker,37993747.12478
EU27,Activity,Re-processing of secondary aluminium into new aluminium,4640901.642115999
EU27,Activity,Re-processing of secondary construction material into aggregates,392580607.91604996
EU27,Activity,Re-processing of secondary copper into new copper,899959.2178785
EU27,Activity,Re-processing of secondary glass into new glass,23596836.7976286
EU27,Activity,Re-processing of secondary lead into new lead,1844656.257066
EU27,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,429470.77177795
EU27,Activity,Re-processing of secondary paper into new pulp,33675492.523356676
EU27,Activity,Re-processing of secondary plastic into new plastic,9282620.57274523
EU27,Activity,Re-processing of secondary preciuos metals into new preciuos metals,1731.3547342440002
EU27,Activity,Re-processing of secondary steel into new steel,174427151.57849997
EU27,Activity,Re-processing of secondary wood material into new wood material,36812206.7397598
EU27,Activity,Real estate activities (70),1450537.514281
EU27,Activity,"Recreational, cultural and sporting activities (92)",452827.70801
EU27,Activity,Recycling of bottles by direct reuse,33765300.209722
EU27,Activity,Recycling of waste and scrap,26905.203061695
EU27,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),285024.7854938
EU27,Activity,Research and development (73),162321.86352331
EU27,Activity,Retail sale of automotive fuel,26382.27746929
EU27,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",104353.30649260001
EU27,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",221319.2094349
EU27,Activity,Sea and coastal water transport,89832.414238695
EU27,Activity,Steam and hot water supply,3034972.077077387
EU27,Activity,Sugar refining,21513463.96852324
EU27,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),576127.456991
EU27,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",432810.2583948
EU27,Activity,Transmission of electricity,33813.134640799995
EU27,Activity,Transport via pipelines,14940.587780952
EU27,Activity,Transport via railways,135204.98913777
EU27,Activity,"Waste water treatment, food",276307.9215356
EU27,Activity,"Waste water treatment, other",41255328.02122
EU27,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",499121.017052
EU27,Activity,"Wool, silk-worm cocoons",0.0
RoW,Activity,Activities auxiliary to financial intermediation (67),390548.543106
RoW,Activity,Activities of membership organisation n.e.c. (91),215139.033214
RoW,Activity,Air transport (62),244837.63856999998
RoW,Activity,Aluminium production,16618051.314
RoW,Activity,Animal products nec,566154.35701
RoW,Activity,"Biogasification of food waste, incl. land application",4438836.2114412775
RoW,Activity,"Biogasification of paper, incl. land application",2613463.183469909
RoW,Activity,"Biogasification of sewage slugde, incl. land application",4563464.464641216
RoW,Activity,Casting of metals,10230984.433601901
RoW,Activity,Cattle farming,17822290.96794
RoW,Activity,Chemicals nec,399465096.8885621
RoW,Activity,"Collection, purification and distribution of water (41)",67470.715309659
RoW,Activity,"Composting of food waste, incl. land application",9338317.598672397
RoW,Activity,"Composting of paper and wood, incl. land application",680866.142898881
RoW,Activity,Computer and related activities (72),698964.9522403
RoW,Activity,Construction (45),3283093.6115
RoW,Activity,Copper production,6510797.0792488
RoW,Activity,Cultivation of cereal grains nec,359603962.8849
RoW,Activity,Cultivation of crops nec,19399283.549305998
RoW,Activity,Cultivation of oil seeds,367744339.00773
RoW,Activity,Cultivation of paddy rice,299056391.77000004
RoW,Activity,Cultivation of plant-based fibers,27470934.1169024
RoW,Activity,"Cultivation of sugar cane, sugar beet",418174485.21999997
RoW,Activity,"Cultivation of vegetables, fruit, nuts",363661338.94909996
RoW,Activity,Cultivation of wheat,221853266.68175
RoW,Activity,Distribution and trade of electricity,127702.5834885
RoW,Activity,Distribution of gaseous fuels through mains,69501.99704578
RoW,Activity,Education (80),1086318.933853
RoW,Activity,Extra-territorial organizations and bodies,0.0
RoW,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2662443262.15966
RoW,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1641818679.550488
RoW,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",43338587.94
RoW,Activity,"Financial intermediation, except insurance and pension funding (65)",907744.514458
RoW,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",11863909.28
RoW,Activity,"Forestry, logging and related service activities (02)",1148664309.143
RoW,Activity,Health and social work (85),2232729.4103
RoW,Activity,Hotels and restaurants (55),1366093.413871
RoW,Activity,Incineration of waste: Food,102907135.97722758
RoW,Activity,Incineration of waste: Metals and Inert materials,1155331867.3105938
RoW,Activity,Incineration of waste: Oil/Hazardous waste,20810768.341781456
RoW,Activity,Incineration of waste: Paper,11178381.622405784
RoW,Activity,Incineration of waste: Plastic,73539761.97404066
RoW,Activity,Incineration of waste: Textiles,4808367.266841691
RoW,Activity,Incineration of waste: Wood,15305265.42889002
RoW,Activity,Inland water transport,12696.40162056
RoW,Activity,"Insurance and pension funding, except compulsory social security (66)",516512.096144
RoW,Activity,Landfill of waste: Food,94217835.392732
RoW,Activity,Landfill of waste: Inert/metal/hazardous,5710776845.17
RoW,Activity,Landfill of waste: Paper,15941235.242985
RoW,Activity,Landfill of waste: Plastic,48929290.83024
RoW,Activity,Landfill of waste: Textiles,11690604.2098753
RoW,Activity,Landfill of waste: Wood,36650150.246335
RoW,Activity,"Lead, zinc and tin production",7207881.903
RoW,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1029052567.6552601
RoW,Activity,Manufacture of beverages,20763533.678629998
RoW,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",172442731.53321
RoW,Activity,"Manufacture of cement, lime and plaster",327732958.688
RoW,Activity,Manufacture of ceramic goods,73155834.9217
RoW,Activity,Manufacture of coke oven products,134379551.17672002
