Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68098.63084132897
China,Activity,Activities of membership organisation n.e.c. (91),74769.92441960773
China,Activity,Air transport (62),60625.62110310333
China,Activity,Aluminium production,18114741.95422805
China,Activity,Animal products nec,328767.01374314586
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538688.2287891125
China,Activity,Blast furnace gas production,1158957908.262158
China,Activity,Casting of metals,11312598.474164225
China,Activity,Cattle farming,3230723.7784433
China,Activity,Chemicals nec,267890790.31889147
China,Activity,"Collection, purification and distribution of water (41)",13511.725008448788
China,Activity,"Composting of food waste, incl. land application",1241687.9674641606
China,Activity,"Composting of paper and wood, incl. land application",182904.9708338352
China,Activity,Computer and related activities (72),222076.65976484487
China,Activity,Construction (45),1390156.2306566979
China,Activity,Copper production,3073285.7707718685
China,Activity,Cultivation of cereal grains nec,172418454.02953255
China,Activity,Cultivation of crops nec,1801753.7873610863
China,Activity,Cultivation of oil seeds,32368922.77376067
China,Activity,Cultivation of paddy rice,172262021.10531422
China,Activity,Cultivation of plant-based fibers,13564906.036302187
China,Activity,"Cultivation of sugar cane, sugar beet",36896457.74198798
China,Activity,"Cultivation of vegetables, fruit, nuts",223844300.54307908
China,Activity,Cultivation of wheat,99796539.28084604
China,Activity,Distribution and trade of electricity,82734.4602917262
China,Activity,Distribution of gaseous fuels through mains,11312.328975453094
China,Activity,Education (80),326659.5698228814
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203523374.77631438
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85528014.59451172
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268947.927760025
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423992.025454364
China,Activity,"Forestry, logging and related service activities (02)",199037262.95762002
China,Activity,Health and social work (85),300999.08199308155
China,Activity,Hotels and restaurants (55),331052.74996339006
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677083.2903525799
China,Activity,Incineration of waste: Metals and Inert materials,501465.1951573438
China,Activity,Incineration of waste: Oil/Hazardous waste,2415583.1171571105
China,Activity,Incineration of waste: Paper,24258913.93085915
China,Activity,Incineration of waste: Plastic,66427078.23587569
China,Activity,Incineration of waste: Textiles,412769.4872998438
China,Activity,Incineration of waste: Wood,144325.4803908154
China,Activity,Inland water transport,3490.9148546898728
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124367.87635354779
China,Activity,Landfill of waste: Food,83174718.34676869
China,Activity,Landfill of waste: Inert/metal/hazardous,2205257614.439098
China,Activity,Landfill of waste: Paper,37721681.09830981
China,Activity,Landfill of waste: Plastic,9289523.344137494
China,Activity,Landfill of waste: Textiles,8823611.945215654
