Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68098.62998386106
China,Activity,Activities of membership organisation n.e.c. (91),74769.92439246434
China,Activity,Air transport (62),60625.61997749067
China,Activity,Aluminium production,18114741.619362377
China,Activity,Animal products nec,328767.0136750465
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538688.22532308
China,Activity,Blast furnace gas production,1158957901.353364
China,Activity,Casting of metals,11312598.282451168
China,Activity,Cattle farming,3230723.752041214
China,Activity,Chemicals nec,267890781.42338473
China,Activity,"Collection, purification and distribution of water (41)",13511.724953447483
China,Activity,"Composting of food waste, incl. land application",1241687.9608917686
China,Activity,"Composting of paper and wood, incl. land application",182904.96842513396
China,Activity,Computer and related activities (72),222076.6574652266
China,Activity,Construction (45),1390156.2301368983
China,Activity,Copper production,3073285.723178627
China,Activity,Cultivation of cereal grains nec,172418453.10524154
China,Activity,Cultivation of crops nec,1801753.7483324455
China,Activity,Cultivation of oil seeds,32368922.549518738
China,Activity,Cultivation of paddy rice,172262020.1218449
China,Activity,Cultivation of plant-based fibers,13564905.925799068
China,Activity,"Cultivation of sugar cane, sugar beet",36896457.3974176
China,Activity,"Cultivation of vegetables, fruit, nuts",223844299.53744859
China,Activity,Cultivation of wheat,99796538.84294526
China,Activity,Distribution and trade of electricity,82734.45907812436
China,Activity,Distribution of gaseous fuels through mains,11312.328923556071
China,Activity,Education (80),326659.56982003746
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203523309.02580014
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85519813.3680372
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268947.9239471782
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423992.0239629867
China,Activity,"Forestry, logging and related service activities (02)",199037259.69134325
China,Activity,Health and social work (85),300999.08189133543
China,Activity,Hotels and restaurants (55),331052.7462720936
China,Activity,Incineration of waste: Food,677083.2858691366
China,Activity,Incineration of waste: Metals and Inert materials,501465.1949698383
China,Activity,Incineration of waste: Oil/Hazardous waste,2415583.0551972874
China,Activity,Incineration of waste: Paper,24258913.691486202
China,Activity,Incineration of waste: Plastic,66427076.56216991
China,Activity,Incineration of waste: Textiles,412769.4841604196
China,Activity,Incineration of waste: Wood,144325.47695435394
China,Activity,Inland water transport,3490.9147876097068
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124367.87487893588
China,Activity,Landfill of waste: Food,83174718.05720462
China,Activity,Landfill of waste: Inert/metal/hazardous,2205257574.271911
China,Activity,Landfill of waste: Paper,37721680.730185986
China,Activity,Landfill of waste: Plastic,9289523.136869885
China,Activity,Landfill of waste: Textiles,8823611.881859623
China,Activity,Landfill of waste: Wood,6541628.790879259
China,Activity,"Lead, zinc and tin production",9841684.198434204
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1237310848.0633798
China,Activity,Manufacture of beverages,16607582.783910658
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484475.98942636
China,Activity,"Manufacture of cement, lime and plaster",785991320.8688599
China,Activity,Manufacture of ceramic goods,9192157.473339254
China,Activity,Manufacture of coke oven products,474837219.2824509
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),178962771.21361327
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155250720.91067272
China,Activity,Manufacture of fish products,1987796.4822009245
