Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68098.62998387372
China,Activity,Activities of membership organisation n.e.c. (91),74769.92439244382
China,Activity,Air transport (62),60625.619977489594
China,Activity,Aluminium production,18114741.61936133
China,Activity,Animal products nec,328767.01367504266
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538688.2253230668
China,Activity,Blast furnace gas production,1158957901.3532
China,Activity,Casting of metals,11312598.282450661
China,Activity,Cattle farming,3230723.7520411294
China,Activity,Chemicals nec,267890781.42336166
China,Activity,"Collection, purification and distribution of water (41)",13511.724953526847
China,Activity,"Composting of food waste, incl. land application",1241687.9608917362
China,Activity,"Composting of paper and wood, incl. land application",182904.96842512954
China,Activity,Computer and related activities (72),222076.65746514412
China,Activity,Construction (45),1390156.2301368886
China,Activity,Copper production,3073285.723178515
China,Activity,Cultivation of cereal grains nec,172418453.10523778
China,Activity,Cultivation of crops nec,1801753.7483323673
China,Activity,Cultivation of oil seeds,32368922.54951778
China,Activity,Cultivation of paddy rice,172262020.12184042
China,Activity,Cultivation of plant-based fibers,13564905.925798666
China,Activity,"Cultivation of sugar cane, sugar beet",36896457.39741643
China,Activity,"Cultivation of vegetables, fruit, nuts",223844299.53744406
China,Activity,Cultivation of wheat,99796538.84294187
China,Activity,Distribution and trade of electricity,82734.45907811157
China,Activity,Distribution of gaseous fuels through mains,11312.32892331351
China,Activity,Education (80),326659.5698198869
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203523309.02581143
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85519813.36803505
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268947.9239474826
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423992.0239629447
China,Activity,"Forestry, logging and related service activities (02)",199037259.69135767
China,Activity,Health and social work (85),300999.08189125883
China,Activity,Hotels and restaurants (55),331052.7462720835
China,Activity,Incineration of waste: Food,677083.2858691206
China,Activity,Incineration of waste: Metals and Inert materials,501465.1949698349
China,Activity,Incineration of waste: Oil/Hazardous waste,2415583.055197344
China,Activity,Incineration of waste: Paper,24258913.691485114
China,Activity,Incineration of waste: Plastic,66427076.562166505
China,Activity,Incineration of waste: Textiles,412769.4841604086
China,Activity,Incineration of waste: Wood,144325.47695435584
China,Activity,Inland water transport,3490.9147876148536
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124367.87487893643
China,Activity,Landfill of waste: Food,83174718.05720282
China,Activity,Landfill of waste: Inert/metal/hazardous,2205257574.271846
China,Activity,Landfill of waste: Paper,37721680.7301843
China,Activity,Landfill of waste: Plastic,9289523.1368695
China,Activity,Landfill of waste: Textiles,8823611.881859345
China,Activity,Landfill of waste: Wood,6541628.790879321
China,Activity,"Lead, zinc and tin production",9841684.198434144
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1237310848.0632658
China,Activity,Manufacture of beverages,16607582.783910476
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484475.989425965
China,Activity,"Manufacture of cement, lime and plaster",785991320.8688569
China,Activity,Manufacture of ceramic goods,9192157.473339258
China,Activity,Manufacture of coke oven products,474837219.28240967
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),178962771.2136069
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155250720.9106692
China,Activity,Manufacture of fish products,1987796.4822008451
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72764814.09241357
China,Activity,Manufacture of gas;,6746438.073489932
China,Activity,Manufacture of glass and glass products,12759181.954283103
China,Activity,Manufacture of machinery and equipment n.e.c. (29),260990883.4269248
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6966040.892916846
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428424.35095913836
China,Activity,Manufacture of office machinery and computers (30),25608279.692832142
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107496396.70823039
China,Activity,Manufacture of other transport equipment (35),322663.31532143464
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40539711.60212495
China,Activity,Manufacture of rubber and plastic products (25),83150867.33056036
China,Activity,Manufacture of textiles (17),24537516.11723697
China,Activity,Manufacture of tobacco products (16),1978938.3969729326
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8559621.54102158
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84160987.35266866
China,Activity,Manufacturing of electrolyser,0.0
China,Activity,Manufacturing of steam reformer,0.0
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",277660712.5981813
China,Activity,Meat animals nec,4947933.579320827
China,Activity,Mining of aluminium ores and concentrates,14338362.901332704
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",256243218.8695566
China,Activity,Mining of coal and lignite; extraction of peat (10),3370883453.7285547
China,Activity,Mining of copper ores and concentrates,1294595.0088903515
China,Activity,Mining of iron ores,398055262.1330142
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6582930.983069771
China,Activity,Mining of nickel ores and concentrates,89789.47283669618
China,Activity,Mining of other non-ferrous metal ores and concentrates,5061320.110610084
China,Activity,Mining of precious metal ores and concentrates,3594.008047219083
China,Activity,Mining of uranium and thorium ores (12),1499.837253294349
China,Activity,N-fertiliser,37824793.409262836
China,Activity,Other business activities (74),407793.28578495776
China,Activity,Other land transport,117952.2585941054
China,Activity,Other non-ferrous metal production,10310648.21756097
China,Activity,Other service activities (93),132454.57906464668
China,Activity,P- and other fertiliser,21020434.493673794
China,Activity,Paper,119188092.72248787
China,Activity,Petroleum Refinery,566495529.4492846
China,Activity,Pigs farming,31753377.530553017
China,Activity,"Plastics, basic",79957157.74562524
China,Activity,Post and telecommunications (64),36610.4114896776
China,Activity,Poultry farming,15729514.527667012
China,Activity,Precious metals production,3697.9681581005493
China,Activity,Private households with employed persons (95),28695.135339988185
China,Activity,Processed rice,139163140.52583563
China,Activity,Processing of Food products nec,238581302.52273506
China,Activity,Processing of dairy products,1529347.1667836825
China,Activity,Processing of meat cattle,3013910.6620394452
China,Activity,Processing of meat pigs,29093380.7848612
China,Activity,Processing of meat poultry,5546628.7273277985
China,Activity,Processing of nuclear fuel,942066.7266350882
China,Activity,Processing vegetable oils and fats,71598815.08506773
China,Activity,Production of electricity by Geothermal,550.8459501309165
China,Activity,Production of electricity by biomass and waste,31369.472590028097
China,Activity,Production of electricity by coal,13856491.870936714
China,Activity,Production of electricity by gas,669225.0809565487
China,Activity,Production of electricity by hydro,2530779.8515579705
China,Activity,Production of electricity by nuclear,462509.3977509313
China,Activity,Production of electricity by petroleum and other oil derivatives,63393.45258434689
China,Activity,Production of electricity by solar photovoltaic,9234.70791137493
China,Activity,Production of electricity by solar thermal,0.0
China,Activity,"Production of electricity by tide, wave, ocean",39.60364213054717
China,Activity,Production of electricity by wind,258154.71080327418
China,Activity,Production of electricity nec,0.0
China,Activity,Production of meat products nec,4090865.3311721473
China,Activity,Public administration and defence; compulsory social security (75),476533.94759900786
China,Activity,"Publishing, printing and reproduction of recorded media (22)",18774858.623025984
China,Activity,Pulp,5608038.462257711
China,Activity,Quarrying of sand and clay,12846301663.38327
China,Activity,Quarrying of stone,68967895.17987119
China,Activity,Raw milk,4943473.245317847
China,Activity,Re-processing of ash into clinker,251101146.65223506
China,Activity,Re-processing of secondary aluminium into new aluminium,8110558.070537565
China,Activity,Re-processing of secondary construction material into aggregates,65527099.493222624
China,Activity,Re-processing of secondary copper into new copper,2403347.659421583
China,Activity,Re-processing of secondary glass into new glass,76655183.26251899
China,Activity,Re-processing of secondary lead into new lead,1295281.8919998305
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,47659.40267629745
China,Activity,Re-processing of secondary paper into new pulp,30795629.03968369
China,Activity,Re-processing of secondary plastic into new plastic,18028379.052350365
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,11.436586218187134
China,Activity,Re-processing of secondary steel into new steel,282225453.0320157
China,Activity,Re-processing of secondary wood material into new wood material,5858676.98510071
China,Activity,Real estate activities (70),405057.72952831263
China,Activity,"Recreational, cultural and sporting activities (92)",78527.92488621756
China,Activity,Recycling of bottles by direct reuse,0.0
China,Activity,Recycling of waste and scrap,25420.41492242241
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),47579.82103139698
China,Activity,Research and development (73),66990.00927069422
China,Activity,Retail sale of automotive fuel,4515.009788609489
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",145458.08925936182
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",65998.34074593018
China,Activity,Sea and coastal water transport,50961.787499023936
China,Activity,Steam and hot water supply,3794892.7087267274
China,Activity,Sugar refining,16438818.031737195
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),199976.75908957722
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",895338.8976425568
China,Activity,Transmission of electricity,30223.00569158219
China,Activity,Transport via pipelines,4333.024961240066
