Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68097.70209728238
China,Activity,Activities of membership organisation n.e.c. (91),74769.90783645453
China,Activity,Air transport (62),60624.34288346539
China,Activity,Aluminium production,18114452.29437375
China,Activity,Animal products nec,328767.0493407672
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538685.4075413155
China,Activity,Blast furnace gas production,1158938130.7314305
China,Activity,Casting of metals,11312338.450725032
China,Activity,Cattle farming,3230698.948453526
China,Activity,Chemicals nec,267888038.49475008
China,Activity,"Collection, purification and distribution of water (41)",13511.517628813985
China,Activity,"Composting of food waste, incl. land application",1241680.991316872
China,Activity,"Composting of paper and wood, incl. land application",182902.55985160617
China,Activity,Computer and related activities (72),222073.85174317774
China,Activity,Construction (45),1390155.191178177
China,Activity,Copper production,3073261.022566261
China,Activity,Cultivation of cereal grains nec,172417515.74878567
China,Activity,Cultivation of crops nec,1801742.172218271
China,Activity,Cultivation of oil seeds,32368724.118837275
China,Activity,Cultivation of paddy rice,172260978.69563365
China,Activity,Cultivation of plant-based fibers,13564820.981234588
China,Activity,"Cultivation of sugar cane, sugar beet",36896214.89588672
China,Activity,"Cultivation of vegetables, fruit, nuts",223843282.70793948
China,Activity,Cultivation of wheat,99796085.49315244
China,Activity,Distribution and trade of electricity,82733.14427483859
China,Activity,Distribution of gaseous fuels through mains,11312.25930142277
China,Activity,Education (80),326659.5649511639
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203519027.60313308
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85526122.82220227
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268942.873295968
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423990.7993580527
China,Activity,"Forestry, logging and related service activities (02)",199034070.0162532
China,Activity,Health and social work (85),300998.889300311
China,Activity,Hotels and restaurants (55),331048.7503406639
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677079.3422402125
China,Activity,Incineration of waste: Metals and Inert materials,501464.8201906421
China,Activity,Incineration of waste: Oil/Hazardous waste,2415272.7839068035
China,Activity,Incineration of waste: Paper,24258733.664561454
China,Activity,Incineration of waste: Plastic,66426221.94371706
China,Activity,Incineration of waste: Textiles,412766.9890488277
China,Activity,Incineration of waste: Wood,144321.3551677813
China,Activity,Inland water transport,3490.819444459054
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124366.19275554275
China,Activity,Landfill of waste: Food,83174423.40612815
China,Activity,Landfill of waste: Inert/metal/hazardous,2205104171.180285
China,Activity,Landfill of waste: Paper,37721402.29644349
China,Activity,Landfill of waste: Plastic,9289382.82917498
China,Activity,Landfill of waste: Textiles,8823559.519301584
China,Activity,Landfill of waste: Wood,6541437.154269264
China,Activity,"Lead, zinc and tin production",9841676.501563385
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1237181247.9302242
China,Activity,Manufacture of beverages,16607511.205363138
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484428.073804155
China,Activity,"Manufacture of cement, lime and plaster",785990583.2734829
China,Activity,Manufacture of ceramic goods,9192142.20525761
China,Activity,Manufacture of coke oven products,473174068.9177406
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),178962290.81629682
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155246203.8310996
China,Activity,Manufacture of fish products,1987795.6781342023
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72763833.45412387
China,Activity,Manufacture of gas;,6746420.200564664
China,Activity,Manufacture of glass and glass products,12759030.625824707
China,Activity,Manufacture of machinery and equipment n.e.c. (29),260983668.8891673
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6966023.287401946
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428422.3366171042
China,Activity,Manufacture of office machinery and computers (30),25608159.583899613
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107494280.75594497
China,Activity,Manufacture of other transport equipment (35),322660.25848701946
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40539619.25884922
China,Activity,Manufacture of rubber and plastic products (25),83149920.16929018
China,Activity,Manufacture of textiles (17),24537343.09268583
China,Activity,Manufacture of tobacco products (16),1978926.1932710533
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8559584.733456947
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84158430.97771412
China,Activity,Manufacturing of electrolyser,0.0
China,Activity,Manufacturing of steam reformer,0.0
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",277658774.5373439
China,Activity,Meat animals nec,4947883.977599142
China,Activity,Mining of aluminium ores and concentrates,14338135.962177863
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",256240480.7236325
China,Activity,Mining of coal and lignite; extraction of peat (10),3369053348.9589043
China,Activity,Mining of copper ores and concentrates,1294585.62457427
China,Activity,Mining of iron ores,398030735.63314724
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6582926.055441944
China,Activity,Mining of nickel ores and concentrates,89788.95306850779
China,Activity,Mining of other non-ferrous metal ores and concentrates,5061290.491669783
China,Activity,Mining of precious metal ores and concentrates,3593.908339691768
China,Activity,Mining of uranium and thorium ores (12),1499.8057195178435
China,Activity,N-fertiliser,37824603.1491292
China,Activity,Other business activities (74),407787.45106708223
China,Activity,Other land transport,117948.74981337253
China,Activity,Other non-ferrous metal production,10310587.306708487
China,Activity,Other service activities (93),132453.1246423025
China,Activity,P- and other fertiliser,21020340.710622773
China,Activity,Paper,119187306.38127683
China,Activity,Petroleum Refinery,566483898.9845109
China,Activity,Pigs farming,31753136.431542326
China,Activity,"Plastics, basic",79956029.2005131
China,Activity,Post and telecommunications (64),36610.13146514851
China,Activity,Poultry farming,15729417.154823732
China,Activity,Precious metals production,3697.8579231362482
China,Activity,Private households with employed persons (95),28695.135339996563
China,Activity,Processed rice,139162299.20201105
China,Activity,Processing of Food products nec,238580224.8848691
China,Activity,Processing of dairy products,1529341.261015735
China,Activity,Processing of meat cattle,3013887.514953822
China,Activity,Processing of meat pigs,29093159.882442437
China,Activity,Processing of meat poultry,5546586.586300699
China,Activity,Processing of nuclear fuel,942046.7165692695
China,Activity,Processing vegetable oils and fats,71598290.47328515
China,Activity,Production of electricity by Geothermal,550.8322683747843
China,Activity,Production of electricity by biomass and waste,31368.693444243338
China,Activity,Production of electricity by coal,13856155.354371425
China,Activity,Production of electricity by gas,669208.8282623296
China,Activity,Production of electricity by hydro,2530716.992762793
China,Activity,Production of electricity by nuclear,462499.573772256
China,Activity,Production of electricity by petroleum and other oil derivatives,63391.91302088597
China,Activity,Production of electricity by solar photovoltaic,9234.47854230803
China,Activity,Production of electricity by solar thermal,0.0
China,Activity,"Production of electricity by tide, wave, ocean",39.60265846846365
China,Activity,Production of electricity by wind,258148.29882947926
China,Activity,Production of electricity nec,0.0
China,Activity,Production of meat products nec,4090822.625227034
China,Activity,Public administration and defence; compulsory social security (75),476533.8184765732
China,Activity,"Publishing, printing and reproduction of recorded media (22)",18774629.509993
China,Activity,Pulp,5608004.31336984
China,Activity,Quarrying of sand and clay,12846287881.538387
China,Activity,Quarrying of stone,68967410.76022089
China,Activity,Raw milk,4943459.237850252
China,Activity,Re-processing of ash into clinker,251085470.6279162
