Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68103.6586924156
China,Activity,Activities of membership organisation n.e.c. (91),74769.926280454
China,Activity,Air transport (62),60637.83062486239
China,Activity,Aluminium production,18117371.19190331
China,Activity,Animal products nec,328769.54939282837
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538715.7308809309
China,Activity,Blast furnace gas production,1158959317.6600993
China,Activity,Casting of metals,11313626.036786076
China,Activity,Cattle farming,3230984.5448511173
China,Activity,Chemicals nec,267965645.181175
China,Activity,"Collection, purification and distribution of water (41)",13511.712238788106
China,Activity,"Composting of food waste, incl. land application",1241757.6770429474
China,Activity,"Composting of paper and wood, incl. land application",182928.7877880552
China,Activity,Computer and related activities (72),222093.85517251905
China,Activity,Construction (45),1390159.0873281981
China,Activity,Copper production,3073795.4094285155
China,Activity,Cultivation of cereal grains nec,172428260.9600006
China,Activity,Cultivation of crops nec,1802525.7629388638
China,Activity,Cultivation of oil seeds,32371369.406820796
China,Activity,Cultivation of paddy rice,172272454.1512119
China,Activity,Cultivation of plant-based fibers,13565899.11867269
China,Activity,"Cultivation of sugar cane, sugar beet",36899907.652939096
China,Activity,"Cultivation of vegetables, fruit, nuts",223854966.1248528
China,Activity,Cultivation of wheat,99801171.70079327
China,Activity,Distribution and trade of electricity,82738.72091934571
China,Activity,Distribution of gaseous fuels through mains,11312.495230533135
China,Activity,Education (80),326659.6013625087
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203576049.0510868
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85528964.56602016
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268968.79465877014
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3424008.3030759683
China,Activity,"Forestry, logging and related service activities (02)",199112523.95155275
China,Activity,Health and social work (85),300999.47437974066
China,Activity,Hotels and restaurants (55),331091.93610368663
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677120.8043854941
China,Activity,Incineration of waste: Metals and Inert materials,501466.2256324072
China,Activity,Incineration of waste: Oil/Hazardous waste,2415370.716807412
China,Activity,Incineration of waste: Paper,24260938.040134683
China,Activity,Incineration of waste: Plastic,66436873.7413593
China,Activity,Incineration of waste: Textiles,412786.34725756827
China,Activity,Incineration of waste: Wood,144362.1701459071
China,Activity,Inland water transport,3491.169938164926
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124374.12617097923
China,Activity,Landfill of waste: Food,83177781.01472174
China,Activity,Landfill of waste: Inert/metal/hazardous,2205225331.0422597
China,Activity,Landfill of waste: Paper,37724793.125903755
China,Activity,Landfill of waste: Plastic,9290628.700988807
China,Activity,Landfill of waste: Textiles,8823975.29099479
China,Activity,Landfill of waste: Wood,6543373.673614159
China,Activity,"Lead, zinc and tin production",9842120.121156318
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1237337663.6269
China,Activity,Manufacture of beverages,16608291.562117856
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484665.381150104
China,Activity,"Manufacture of cement, lime and plaster",786064320.1629603
China,Activity,Manufacture of ceramic goods,9193036.33172952
China,Activity,Manufacture of coke oven products,471938002.5138412
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),179003969.7619393
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155274908.196807
China,Activity,Manufacture of fish products,1987804.3020596309
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72769310.00890148
China,Activity,Manufacture of gas;,6746684.592727065
China,Activity,Manufacture of glass and glass products,12759997.746609954
China,Activity,Manufacture of machinery and equipment n.e.c. (29),261010797.0748041
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6967118.455416701
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428434.8623010954
China,Activity,Manufacture of office machinery and computers (30),25610654.42441786
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107505327.28432652
China,Activity,Manufacture of other transport equipment (35),322683.5710540473
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40545516.328142926
China,Activity,Manufacture of rubber and plastic products (25),83163412.96602774
China,Activity,Manufacture of textiles (17),24539357.595783096
China,Activity,Manufacture of tobacco products (16),1978964.5762309448
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8559831.836732738
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84184710.83225986
