Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68108.4610116961
China,Activity,Activities of membership organisation n.e.c. (91),74769.95535895682
China,Activity,Air transport (62),60646.71679667028
China,Activity,Aluminium production,18119419.827321842
China,Activity,Animal products nec,328770.7132307159
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538735.345224339
China,Activity,Blast furnace gas production,1158993616.2431486
China,Activity,Casting of metals,11314634.926703697
China,Activity,Cattle farming,3231168.235304515
China,Activity,Chemicals nec,268032921.2185101
China,Activity,"Collection, purification and distribution of water (41)",13512.064626359097
China,Activity,"Composting of food waste, incl. land application",1241806.0612785397
China,Activity,"Composting of paper and wood, incl. land application",182946.53100902363
China,Activity,Computer and related activities (72),222107.30355654182
China,Activity,Construction (45),1390162.0982499358
China,Activity,Copper production,3074144.561336306
China,Activity,Cultivation of cereal grains nec,172434972.1219686
China,Activity,Cultivation of crops nec,1803054.0787718361
China,Activity,Cultivation of oil seeds,32373124.560563434
China,Activity,Cultivation of paddy rice,172279669.31355157
China,Activity,Cultivation of plant-based fibers,13566621.049002778
China,Activity,"Cultivation of sugar cane, sugar beet",36902548.87816535
China,Activity,"Cultivation of vegetables, fruit, nuts",223862250.50224182
China,Activity,Cultivation of wheat,99804358.14729401
China,Activity,Distribution and trade of electricity,82743.59059896936
China,Activity,Distribution of gaseous fuels through mains,11312.734499557097
China,Activity,Education (80),326659.6246738766
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203610945.0027984
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85537264.61635475
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268989.06815811235
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3424018.6728336625
China,Activity,"Forestry, logging and related service activities (02)",199149721.87216452
China,Activity,Health and social work (85),301000.0450145006
China,Activity,Hotels and restaurants (55),331119.1962756764
