Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68107.1604759235
China,Activity,Activities of membership organisation n.e.c. (91),74769.93677992889
China,Activity,Air transport (62),60644.29203479978
China,Activity,Aluminium production,18118861.015450947
China,Activity,Animal products nec,328770.62701232976
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538731.1767486379
China,Activity,Blast furnace gas production,1158971423.098859
China,Activity,Casting of metals,11314255.837330865
China,Activity,Cattle farming,3231130.8585705664
China,Activity,Chemicals nec,268028064.95350406
China,Activity,"Collection, purification and distribution of water (41)",13511.831731951132
China,Activity,"Composting of food waste, incl. land application",1241795.6688906848
China,Activity,"Composting of paper and wood, incl. land application",182942.58109428213
China,Activity,Computer and related activities (72),222103.29951420712
China,Activity,Construction (45),1390160.902267796
China,Activity,Copper production,3074072.4903679965
China,Activity,Cultivation of cereal grains nec,172433563.09383702
China,Activity,Cultivation of crops nec,1803046.0210072368
China,Activity,Cultivation of oil seeds,32372815.938053653
China,Activity,Cultivation of paddy rice,172278116.0501508
China,Activity,Cultivation of plant-based fibers,13566488.553047704
China,Activity,"Cultivation of sugar cane, sugar beet",36902165.11732945
China,Activity,"Cultivation of vegetables, fruit, nuts",223860722.1761179
China,Activity,Cultivation of wheat,99803680.0283317
China,Activity,Distribution and trade of electricity,82741.85233345679
China,Activity,Distribution of gaseous fuels through mains,11312.649669882856
China,Activity,Education (80),326659.61862458364
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203605412.7273535
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85534792.52381176
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268982.0534430435
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3424016.757237593
China,Activity,"Forestry, logging and related service activities (02)",199149558.25101113
China,Activity,Health and social work (85),300999.80657091335
China,Activity,Hotels and restaurants (55),331113.25653510075
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677141.5328435517
China,Activity,Incineration of waste: Metals and Inert materials,501466.88032791484
China,Activity,Incineration of waste: Oil/Hazardous waste,2415440.9476240883
China,Activity,Incineration of waste: Paper,24262197.915809065
China,Activity,Incineration of waste: Plastic,66442250.46512507
China,Activity,Incineration of waste: Textiles,412796.43724314653
China,Activity,Incineration of waste: Wood,144381.64035786176
China,Activity,Inland water transport,3491.3381228192957
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124378.21458433499
China,Activity,Landfill of waste: Food,83179468.98581165
China,Activity,Landfill of waste: Inert/metal/hazardous,2205300187.7053537
China,Activity,Landfill of waste: Paper,37726729.89015535
China,Activity,Landfill of waste: Plastic,9291327.892123913
China,Activity,Landfill of waste: Textiles,8824192.079231272
China,Activity,Landfill of waste: Wood,6544295.585358379
China,Activity,"Lead, zinc and tin production",9842362.11375343
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1237369558.1654012
China,Activity,Manufacture of beverages,16608676.46113687
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484791.58464622
China,Activity,"Manufacture of cement, lime and plaster",786135025.2738856
China,Activity,Manufacture of ceramic goods,9193699.752799913
