Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68109.35722012966
China,Activity,Activities of membership organisation n.e.c. (91),74769.9280216601
China,Activity,Air transport (62),60643.39534244217
China,Activity,Aluminium production,18119032.19811239
China,Activity,Animal products nec,328770.2317709
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538734.0892972933
China,Activity,Blast furnace gas production,1158961204.3232906
China,Activity,Casting of metals,11314204.511710243
China,Activity,Cattle farming,3231157.201666712
China,Activity,Chemicals nec,268134464.38838464
China,Activity,"Collection, purification and distribution of water (41)",13511.760156045135
China,Activity,"Composting of food waste, incl. land application",1241798.6899785965
China,Activity,"Composting of paper and wood, incl. land application",182947.69009274815
China,Activity,Computer and related activities (72),222101.56631948132
China,Activity,Construction (45),1390159.9101871408
China,Activity,Copper production,3074152.8509639855
China,Activity,Cultivation of cereal grains nec,172433915.42909142
China,Activity,Cultivation of crops nec,1803534.9581653387
China,Activity,Cultivation of oil seeds,32373453.800465997
China,Activity,Cultivation of paddy rice,172278476.2863607
China,Activity,Cultivation of plant-based fibers,13566744.218393201
China,Activity,"Cultivation of sugar cane, sugar beet",36904123.236028306
China,Activity,"Cultivation of vegetables, fruit, nuts",223861076.15610245
China,Activity,Cultivation of wheat,99803838.09833272
China,Activity,Distribution and trade of electricity,82743.15393982569
China,Activity,Distribution of gaseous fuels through mains,11312.76954490744
China,Activity,Education (80),326659.6141005172
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203612835.4156666
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85536539.7870778
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268982.8164345111
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3424016.8365374357
China,Activity,"Forestry, logging and related service activities (02)",199150045.1548213
China,Activity,Health and social work (85),300999.8781149676
China,Activity,Hotels and restaurants (55),331114.6284098782
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677143.7733746683
China,Activity,Incineration of waste: Metals and Inert materials,501466.5224588442
China,Activity,Incineration of waste: Oil/Hazardous waste,2415235.0997048556
China,Activity,Incineration of waste: Paper,24262966.31466707
China,Activity,Incineration of waste: Plastic,66443101.44246542
China,Activity,Incineration of waste: Textiles,412798.79281545413
China,Activity,Incineration of waste: Wood,144382.130324128
China,Activity,Inland water transport,3491.272177982714
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124378.3591996773
China,Activity,Landfill of waste: Food,83179703.91735621
China,Activity,Landfill of waste: Inert/metal/hazardous,2205243261.9066
China,Activity,Landfill of waste: Paper,37727906.507680506
China,Activity,Landfill of waste: Plastic,9291670.419122575
China,Activity,Landfill of waste: Textiles,8824243.786291238
China,Activity,Landfill of waste: Wood,6544315.809761308
China,Activity,"Lead, zinc and tin production",9842473.978437617
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1237212812.6946342
China,Activity,Manufacture of beverages,16608700.24529431
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484811.93617256
China,Activity,"Manufacture of cement, lime and plaster",786285769.0653236
China,Activity,Manufacture of ceramic goods,9194714.930618329
China,Activity,Manufacture of coke oven products,469650797.81359196
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),179036451.77949655
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155286612.2354318
China,Activity,Manufacture of fish products,1987808.8959133665
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72772250.28156655
China,Activity,Manufacture of gas;,6747082.688543054
China,Activity,Manufacture of glass and glass products,12760834.934550306
China,Activity,Manufacture of machinery and equipment n.e.c. (29),261017122.1346769
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6967624.169137319
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428440.4323928046
China,Activity,Manufacture of office machinery and computers (30),25612361.880532805
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107509907.13889621
China,Activity,Manufacture of other transport equipment (35),322693.1636540933
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40548497.089746825
China,Activity,Manufacture of rubber and plastic products (25),83173797.73070809
China,Activity,Manufacture of textiles (17),24540851.558495738
China,Activity,Manufacture of tobacco products (16),1978978.6776398544
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8559979.608338151
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84197194.39046961
China,Activity,Manufacturing of electrolyser,0.0
China,Activity,Manufacturing of steam reformer,0.0
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",277692507.62066126
China,Activity,Meat animals nec,4948715.985029018
China,Activity,Mining of aluminium ores and concentrates,14341728.32207917
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",256604012.65808806
China,Activity,Mining of coal and lignite; extraction of peat (10),3365938638.2993617
China,Activity,Mining of copper ores and concentrates,1294924.4501664718
China,Activity,Mining of iron ores,409083580.1686519
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6583436.609584946
China,Activity,Mining of nickel ores and concentrates,89816.1269713724
China,Activity,Mining of other non-ferrous metal ores and concentrates,5062838.9939149385
China,Activity,Mining of precious metal ores and concentrates,3599.307479037809
China,Activity,Mining of uranium and thorium ores (12),1500.0694184910105
China,Activity,N-fertiliser,37829019.72758736
China,Activity,Other business activities (74),407870.232632899
China,Activity,Other land transport,117966.31653283634
China,Activity,Other non-ferrous metal production,10313771.77552675
China,Activity,Other service activities (93),132463.32048500376
China,Activity,P- and other fertiliser,21022832.16666185
China,Activity,Paper,119215305.63707007
China,Activity,Petroleum Refinery,566737294.597645
China,Activity,Pigs farming,31757169.001612835
China,Activity,"Plastics, basic",79998332.60338472
China,Activity,Post and telecommunications (64),36615.98166614071
China,Activity,Poultry farming,15731063.106017994
China,Activity,Precious metals production,3703.858118465088
China,Activity,Private households with employed persons (95),28695.135339972607
China,Activity,Processed rice,139176434.7594341
China,Activity,Processing of Food products nec,238600780.0951925
China,Activity,Processing of dairy products,1529443.7104942661
China,Activity,Processing of meat cattle,3014314.9666805477
China,Activity,Processing of meat pigs,29096854.64725378
China,Activity,Processing of meat poultry,5547312.089503942
China,Activity,Processing of nuclear fuel,942214.05040372
China,Activity,Processing vegetable oils and fats,71609874.71124099
China,Activity,Production of electricity by Geothermal,550.9212278979238
China,Activity,Production of electricity by biomass and waste,31373.759494418893
China,Activity,Production of electricity by coal,13858406.746187385
China,Activity,Production of electricity by gas,669317.5634229804
China,Activity,Production of electricity by hydro,2531125.704070757
China,Activity,Production of electricity by nuclear,462581.72662699496
China,Activity,Production of electricity by petroleum and other oil derivatives,63402.21313889039
China,Activity,Production of electricity by solar photovoltaic,9235.969912466822
China,Activity,Production of electricity by solar thermal,0.0
China,Activity,"Production of electricity by tide, wave, ocean",39.60905430322467
China,Activity,Production of electricity by wind,258189.9898321334
China,Activity,Production of electricity nec,0.0
China,Activity,Production of meat products nec,4091528.8387949537
China,Activity,Public administration and defence; compulsory social security (75),476534.52597182
China,Activity,"Publishing, printing and reproduction of recorded media (22)",18777501.998240482
China,Activity,Pulp,5609453.361723821
China,Activity,Quarrying of sand and clay,12846915180.537601
China,Activity,Quarrying of stone,68972288.25416008
China,Activity,Raw milk,4943695.637481892
China,Activity,Re-processing of ash into clinker,251124768.24375188
China,Activity,Re-processing of secondary aluminium into new aluminium,8113402.5791962305
China,Activity,Re-processing of secondary construction material into aggregates,65529166.99346937
China,Activity,Re-processing of secondary copper into new copper,2405166.368515029
China,Activity,Re-processing of secondary glass into new glass,76663249.51501529
China,Activity,Re-processing of secondary lead into new lead,1295353.3782213079
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,47706.27052038245
China,Activity,Re-processing of secondary paper into new pulp,30803934.43998381
China,Activity,Re-processing of secondary plastic into new plastic,18039123.71158302
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,11.446500295866855
China,Activity,Re-processing of secondary steel into new steel,282227595.0703738
