Region,China,EU27,India,RoW,Russia,USA
Level,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption,Final consumption
Item,,,,,,
Aquatic plants (resource),0.0,0.0,0.0,0.0,0.0,0.0
Bauxite and aluminium ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Building stones (resource),0.0,0.0,0.0,0.0,0.0,0.0
Chemical and fertilizer minerals (resource),0.0,0.0,0.0,0.0,0.0,0.0
Clays and kaolin (resource),0.0,0.0,0.0,0.0,0.0,0.0
Copper ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Gold ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Gravel and sand (resource),0.0,0.0,0.0,0.0,0.0,0.0
Inland waters fish catch (resource),0.0,0.0,0.0,0.0,0.0,0.0
Iron ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Lead ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
"Limestone, gypsum, chalk, dolomite (resource)",0.0,0.0,0.0,0.0,0.0,0.0
Marine fish catch (resource),0.0,0.0,0.0,0.0,0.0,0.0
Nickel ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Other (e.g. Aquatic mammals) (resource),0.0,0.0,0.0,0.0,0.0,0.0
Other minerals (resource),0.0,0.0,0.0,0.0,0.0,0.0
Other non-ferrous metal ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
PGM ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Salt (resource),0.0,0.0,0.0,0.0,0.0,0.0
Silver ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Slate (resource),0.0,0.0,0.0,0.0,0.0,0.0
Tin ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Uranium and thorium ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Zinc ores (resource),0.0,0.0,0.0,0.0,0.0,0.0
Crude oil (resource),0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (resource),0.0,0.0,0.0,0.0,0.0,0.0
Natural gas liquids (resource),0.0,0.0,0.0,0.0,0.0,0.0
Peat (resource),0.0,0.0,0.0,0.0,0.0,0.0
Anthracite (resource),0.0,0.0,0.0,0.0,0.0,0.0
Coking coal (resource),0.0,0.0,0.0,0.0,0.0,0.0
Lignite/brown coal (resource),0.0,0.0,0.0,0.0,0.0,0.0
Other bituminous coal (resource),0.0,0.0,0.0,0.0,0.0,0.0
Sub-bituminous coal (resource),0.0,0.0,0.0,0.0,0.0,0.0
"Carbon dioxide, in air (resource)",0.0,0.0,0.0,0.0,0.0,0.0
Minerals nec. (incl nitrogen and hydrogen) (resource),133524.63523744268,500845.5283144284,65395.132995932494,630713.5915379296,166557.91366245068,261479.7198117428
Oxygen (resource),667052714.8539175,823629307.509351,590984678.9006951,2648989886.511574,233769116.88215587,784257334.7007039
Water Consumption Blue (resource),5639.814,3829.583094,9191.36,35669.803331,3865.96,7393.76
Water Consumption Green (resource),0.0,0.0,0.0,0.0,0.0,0.0
Water Withdrawal Blue (resource),54227.0,32727.4843,41755.1,194113.00611,15463.8,50308.9
"Land use, arable land (Land)",0.0,0.0,0.0,0.0,0.0,0.0
"Land use, forest land (Land)",64842347.01309644,28209936.35575088,22233379.60185241,762804595.0602324,17217970.750710405,30922370.93009628
"Land use, grassland (Land)",0.0,0.0,0.0,0.0,0.0,0.0
"Land use, other land for woodfuel (Land)",318521642.11139774,41746214.207719885,57725468.144687176,3195994705.77385,300121538.8039543,228803670.3203481
"Land use, infrastructure land (Land)",10628485.00193356,23111332.39214704,9047391.67457023,60488691.71162252,14549100.231400002,32877311.151381694
CO2,457737136.75179255,774458547.4864953,121255553.31857632,1618390413.220519,235258187.90234,818186262.0288045
N2O,7042.059939091509,15520.428220958089,11849.1997983218,45137.74472281554,2063.638276024445,11771.341811839471
CH4,389998.0652367777,653085.7379869616,879697.539012532,3239815.036071069,643226.258279579,641833.8482638184
HFCs (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
PFCs (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
SF6 (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
NOX  (air - Emiss),562645.6277241257,2125322.763172297,264106.8559718694,2641506.779371703,711005.5777873526,1104575.540878337
SOx (air - Emiss),1056165.7833095423,394536.06404125306,138674.60702818213,1315475.6702641223,63591.170154946776,92274.550758774
NH3 (air - Emiss),50005.79188866008,63654.73154518585,29312.928840341367,541375.0515226546,21833.18212285005,131289.79178663658
NMVOC (air - Emiss),4569858.3547774665,9735040.787458025,5491535.637632551,34375894.24008435,3432474.1262276466,9052711.726907937
CO  (air - Emiss),11919891.867586866,7650525.979965453,15743726.113105323,39675299.25338157,2251487.4651131774,9601396.3992704
CFCs (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
HCFCs (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Pb (air - Emiss),226.40009811099264,112.61435181355662,165.76534199263838,493.91121915280047,75.6440002391447,61.20834387571743
Cd (air - Emiss),3.7497743415605127,4.021916701035681,7.335681597701668,26.00576838773876,24.37764941598704,2.9329587331876223
Hg (air - Emiss),11.426215742356192,16.338920411964978,3.6764492960708335,25.42102924872408,14.231920630318983,11.687187098961514
As (air - Emiss),10.234659391303184,16.22402275551314,5.9397357399478565,34.12097461474897,7.4993134133070685,11.812114815281932
Cr (air - Emiss),30.16191123534646,41.89871523888933,54.52975886200946,208.77093771484533,38.944435970625285,31.856778600670545
Cu (air - Emiss),260.3031770182613,652.9492249659289,92.47644663304789,1213.9786152759953,187.0155062793178,717.6142610997347
Ni (air - Emiss),79.98426614039414,204.81244291656213,684.0832083873465,2252.419213331664,62.71492786968124,61.82137393468312
Se (air - Emiss),4.000717994700492,4.145465561496024,2.2001162002124364,9.83884276576815,1.4291443882423838,3.2777623354202747
Zn (air - Emiss),483.2086274717842,428.8451269422018,355.82673911073704,1382.888890471701,735.5940835751,392.2036915171293
Aldrin (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Chlordane (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Chlordecone (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Dieldrin (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Endrin (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Heptachlor (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Hexabr.-biph. (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Mirex (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Toxaphene (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
HCH (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
DDT (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
PCB (air - Emiss),0.2710471405955949,0.0693562965707104,0.1677950173990418,0.3714931371625508,0.0222355158798233,0.0083942377614384
dioxin (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
PM10 (air - Emiss),756069.01110769,387017.6056743583,1275139.3262403307,3102252.3958558566,57745.19090566812,151718.2510374739
"PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47) (air - Emiss)",0.0,0.0,0.0,0.0,0.0,0.0
Benzene (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
"1,3 Butadiene (air - Emiss)",0.0,0.0,0.0,0.0,0.0,0.0
Formaldehyd (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
PM2.5 (air - Emiss),840423.9253365137,412011.4878992066,1362906.628389713,3256365.2874178896,81198.80472728249,169264.99478192933
Furans (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Benzo-[a]-pyrene (air - Emiss),402.1390052941837,145.92015718362924,507.7345622793015,1218.1845582026508,32.07861191412252,34.08011727753167
PBDEs (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Benzo-[b]-fluoranthene (air - Emiss),549.6496043199762,190.11219938327145,572.3477154411145,1379.0650763698166,46.37638027536504,40.80077009120158
Benzo-[k]-fluoranthene (air - Emiss),230.9116719232053,84.68416685488725,306.5871934861925,733.8925620285629,18.224754026209872,20.87345607807889
"Indeno-[1,2,3-cd]-pyrene (air - Emiss)",206.85312538376672,85.4863361835503,322.9617029915292,781.9855442563609,16.38681570923727,25.027320726368387
HCB (air - Emiss),0.0028991766422196,0.0014917069688422,0.0080237511053754,0.0215954424811756,8.271337335976194e-05,0.0008394237761438
PCDD/F (dioxins and furans) (air - Emiss),0.001376474128005,0.0004421764085551,0.0014643398803703,0.0034947854385677,9.804265160798394e-05,0.0001013559348526
