Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68101.66690361248
China,Activity,Activities of membership organisation n.e.c. (91),74769.87395257379
China,Activity,Air transport (62),60626.02971967632
China,Activity,Aluminium production,18115414.93790354
China,Activity,Animal products nec,328767.5480790149
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538697.2399021271
China,Activity,Blast furnace gas production,1158895117.9260836
China,Activity,Casting of metals,11312360.55671894
China,Activity,Cattle farming,3230830.1708649406
China,Activity,Chemicals nec,268063703.5925013
China,Activity,"Collection, purification and distribution of water (41)",13511.106299029003
China,Activity,"Composting of food waste, incl. land application",1241705.2403880975
China,Activity,"Composting of paper and wood, incl. land application",182918.67997732508
China,Activity,Computer and related activities (72),222075.07092774
China,Activity,Construction (45),1390153.3964528332
China,Activity,Copper production,3073534.40204518
China,Activity,Cultivation of cereal grains nec,172420951.0468837
China,Activity,Cultivation of crops nec,1803121.975546538
China,Activity,Cultivation of oil seeds,32370546.935487263
China,Activity,Cultivation of paddy rice,172264477.16264865
China,Activity,Cultivation of plant-based fibers,13565567.142488878
China,Activity,"Cultivation of sugar cane, sugar beet",36900187.52135315
China,Activity,"Cultivation of vegetables, fruit, nuts",223846967.9467589
China,Activity,Cultivation of wheat,99797664.38647501
China,Activity,Distribution and trade of electricity,82735.22447784121
China,Activity,Distribution of gaseous fuels through mains,11312.39877552481
China,Activity,Education (80),326659.56363438134
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203550401.01341522
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85523101.47076866
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268946.28102755756
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423996.4035935453
China,Activity,"Forestry, logging and related service activities (02)",199065818.54266784
China,Activity,Health and social work (85),300998.8813144834
China,Activity,Hotels and restaurants (55),331061.67937987496
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677093.0752422693
China,Activity,Incineration of waste: Metals and Inert materials,501464.1727869324
China,Activity,Incineration of waste: Oil/Hazardous waste,2414416.61681505
China,Activity,Incineration of waste: Paper,24260455.651664574
China,Activity,Incineration of waste: Plastic,66430838.65252052
China,Activity,Incineration of waste: Textiles,412775.49992967193
China,Activity,Incineration of waste: Wood,144337.5918117771
China,Activity,Inland water transport,3490.6950385714185
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124366.79566279164
China,Activity,Landfill of waste: Food,83175671.1587242
China,Activity,Landfill of waste: Inert/metal/hazardous,2204790581.3870616
China,Activity,Landfill of waste: Paper,37724040.74129509
China,Activity,Landfill of waste: Plastic,9290280.576498065
China,Activity,Landfill of waste: Textiles,8823746.422078505
China,Activity,Landfill of waste: Wood,6542213.040408714
China,Activity,"Lead, zinc and tin production",9842034.256457858
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1236900329.5323932
China,Activity,Manufacture of beverages,16607744.789223528
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484463.12396563
China,Activity,"Manufacture of cement, lime and plaster",786226984.7814317
China,Activity,Manufacture of ceramic goods,9193880.180787746
China,Activity,Manufacture of coke oven products,466907992.17829096
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),178991022.3156346
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155247293.75962603
China,Activity,Manufacture of fish products,1987798.3350370282
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72764972.07739039
China,Activity,Manufacture of gas;,6746806.631243651
China,Activity,Manufacture of glass and glass products,12759560.628439637
China,Activity,Manufacture of machinery and equipment n.e.c. (29),260972206.9176665
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6966390.061486508
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428423.42753737327
China,Activity,Manufacture of office machinery and computers (30),25609747.0196862
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107493450.61349311
China,Activity,Manufacture of other transport equipment (35),322662.60486532777
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40542110.75123509
China,Activity,Manufacture of rubber and plastic products (25),83158981.090874
China,Activity,Manufacture of textiles (17),24538624.520631414
China,Activity,Manufacture of tobacco products (16),1978926.690467932
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8559676.216996776
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84168779.94439158
China,Activity,Manufacturing of electrolyser,0.0
China,Activity,Manufacturing of steam reformer,0.0
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",277666481.1642481
China,Activity,Meat animals nec,4948063.544647492
China,Activity,Mining of aluminium ores and concentrates,14338891.035256488
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",256537228.6748794
China,Activity,Mining of coal and lignite; extraction of peat (10),3362628606.7970467
China,Activity,Mining of copper ores and concentrates,1294689.4875641393
China,Activity,Mining of iron ores,407021120.3936592
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6583155.094363891
China,Activity,Mining of nickel ores and concentrates,89795.41440358649
China,Activity,Mining of other non-ferrous metal ores and concentrates,5061658.69022875
China,Activity,Mining of precious metal ores and concentrates,3599.0743636956904
China,Activity,Mining of uranium and thorium ores (12),1499.8560353471478
China,Activity,N-fertiliser,37826098.267335445
China,Activity,Other business activities (74),407796.72910034505
China,Activity,Other land transport,117945.66919937343
China,Activity,Other non-ferrous metal production,10311344.500851162
China,Activity,Other service activities (93),132452.78123976965
China,Activity,P- and other fertiliser,21021336.07732455
China,Activity,Paper,119199499.35636164
China,Activity,Petroleum Refinery,566567359.4655379
China,Activity,Pigs farming,31753939.128674738
China,Activity,"Plastics, basic",79977084.1144181
China,Activity,Post and telecommunications (64),36611.39797540721
China,Activity,Poultry farming,15729744.161127906
China,Activity,Precious metals production,3703.600030122424
China,Activity,Private households with employed persons (95),28695.135339998822
China,Activity,Processed rice,139165125.4643324
China,Activity,Processing of Food products nec,238584795.37011144
China,Activity,Processing of dairy products,1529361.8745441146
China,Activity,Processing of meat cattle,3014009.8157874024
China,Activity,Processing of meat pigs,29093895.338099547
China,Activity,Processing of meat poultry,5546731.982673869
China,Activity,Processing of nuclear fuel,942078.6452413747
China,Activity,Processing vegetable oils and fats,71602310.96606201
China,Activity,Production of electricity by Geothermal,550.8423593744311
China,Activity,Production of electricity by biomass and waste,31369.26810451568
China,Activity,Production of electricity by coal,13856431.387316553
China,Activity,Production of electricity by gas,669222.1597874307
China,Activity,Production of electricity by hydro,2530763.3543609474
China,Activity,Production of electricity by nuclear,462515.2492126871
China,Activity,Production of electricity by petroleum and other oil derivatives,63393.17587164305
China,Activity,Production of electricity by solar photovoltaic,9234.647713805503
China,Activity,Production of electricity by solar thermal,0.0
China,Activity,"Production of electricity by tide, wave, ocean",39.603383969953775
China,Activity,Production of electricity by wind,258153.0279903174
China,Activity,Production of electricity nec,0.0
China,Activity,Production of meat products nec,4090962.078266596
