Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68103.29342999209
China,Activity,Activities of membership organisation n.e.c. (91),74769.88352347573
China,Activity,Air transport (62),60627.563619798406
China,Activity,Aluminium production,18115871.72075358
China,Activity,Animal products nec,328767.60640242946
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538702.141232689
China,Activity,Blast furnace gas production,1158906016.310345
China,Activity,Casting of metals,11312613.636388613
China,Activity,Cattle farming,3230878.5388403973
China,Activity,Chemicals nec,268098990.48036173
China,Activity,"Collection, purification and distribution of water (41)",13511.227940053946
China,Activity,"Composting of food waste, incl. land application",1241716.4297522686
China,Activity,"Composting of paper and wood, incl. land application",182924.00796117986
China,Activity,Computer and related activities (72),222077.98827975692
China,Activity,Construction (45),1390154.0555565571
China,Activity,Copper production,3073608.806456972
China,Activity,Cultivation of cereal grains nec,172422489.06994116
China,Activity,Cultivation of crops nec,1803393.781472724
China,Activity,Cultivation of oil seeds,32371077.913318172
China,Activity,Cultivation of paddy rice,172266125.85406756
China,Activity,Cultivation of plant-based fibers,13565788.246845346
China,Activity,"Cultivation of sugar cane, sugar beet",36901159.878971174
China,Activity,"Cultivation of vegetables, fruit, nuts",223848628.54841655
China,Activity,Cultivation of wheat,99798392.67650719
China,Activity,Distribution and trade of electricity,82736.87287311711
China,Activity,Distribution of gaseous fuels through mains,11312.491338916912
China,Activity,Education (80),326659.56803721737
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203560462.0935591
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85525888.34371103
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268951.75640538376
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423998.6229057875
China,Activity,"Forestry, logging and related service activities (02)",199074807.77841094
China,Activity,Health and social work (85),300999.06408526684
China,Activity,Hotels and restaurants (55),331067.9119831332
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677099.4104440251
China,Activity,Incineration of waste: Metals and Inert materials,501464.41054264
China,Activity,Incineration of waste: Oil/Hazardous waste,2414553.6959811863
China,Activity,Incineration of waste: Paper,24260948.946465746
China,Activity,Incineration of waste: Plastic,66432522.45072437
China,Activity,Incineration of waste: Textiles,412779.4895456132
China,Activity,Incineration of waste: Wood,144344.61647461497
China,Activity,Inland water transport,3490.7631134884323
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124368.5196638487
China,Activity,Landfill of waste: Food,83176185.86600235
China,Activity,Landfill of waste: Inert/metal/hazardous,2204878911.2508755
China,Activity,Landfill of waste: Paper,37724799.057472505
China,Activity,Landfill of waste: Plastic,9290583.550133819
China,Activity,Landfill of waste: Textiles,8823831.699963719
China,Activity,Landfill of waste: Wood,6542543.6166606145
China,Activity,"Lead, zinc and tin production",9842108.568023365
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1236972962.873988
China,Activity,Manufacture of beverages,16607856.80599308
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484515.4437097
China,Activity,"Manufacture of cement, lime and plaster",786271596.2376192
China,Activity,Manufacture of ceramic goods,9194217.643946696
China,Activity,Manufacture of coke oven products,467329443.45370394
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),178996813.2876303
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155251823.924849
China,Activity,Manufacture of fish products,1987799.5996520903
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72766125.72659878
China,Activity,Manufacture of gas;,6746895.65118394
China,Activity,Manufacture of glass and glass products,12759804.200070757
China,Activity,Manufacture of machinery and equipment n.e.c. (29),260976973.61325464
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6966475.253867609
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428425.56291775295
China,Activity,Manufacture of office machinery and computers (30),25610160.49488246
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107495319.68386497
China,Activity,Manufacture of other transport equipment (35),322665.9735580324
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40542664.2977956
China,Activity,Manufacture of rubber and plastic products (25),83161583.14702591
China,Activity,Manufacture of textiles (17),24539030.552993264
China,Activity,Manufacture of tobacco products (16),1978938.5814663896
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8559728.77831566
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84173190.83394593
China,Activity,Manufacturing of electrolyser,0.0
China,Activity,Manufacturing of steam reformer,0.0
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",277669776.12776214
China,Activity,Meat animals nec,4948144.537429844
China,Activity,Mining of aluminium ores and concentrates,14339249.32409568
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",256595637.42753312
China,Activity,Mining of coal and lignite; extraction of peat (10),3363180769.4410896
China,Activity,Mining of copper ores and concentrates,1294717.7554674176
China,Activity,Mining of iron ores,408714355.15584725
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6583202.669508546
China,Activity,Mining of nickel ores and concentrates,89797.11080062334
China,Activity,Mining of other non-ferrous metal ores and concentrates,5061755.35925099
China,Activity,Mining of precious metal ores and concentrates,3600.1500585509352
China,Activity,Mining of uranium and thorium ores (12),1499.8956986751025
China,Activity,N-fertiliser,37826561.0950329
China,Activity,Other business activities (74),407804.0402826271
China,Activity,Other land transport,117948.4588342917
China,Activity,Other non-ferrous metal production,10311543.299069231
China,Activity,Other service activities (93),132454.1091080899
China,Activity,P- and other fertiliser,21021612.922617417
China,Activity,Paper,119202529.00285806
China,Activity,Petroleum Refinery,566594357.0760117
China,Activity,Pigs farming,31754319.449771743
China,Activity,"Plastics, basic",79982118.27534539
China,Activity,Post and telecommunications (64),36611.90221320634
China,Activity,Poultry farming,15729898.289360732
China,Activity,Precious metals production,3704.795107707831
China,Activity,Private households with employed persons (95),28695.135339949014
China,Activity,Processed rice,139166457.37182674
China,Activity,Processing of Food products nec,238586680.80796635
China,Activity,Processing of dairy products,1529371.3694039874
China,Activity,Processing of meat cattle,3014054.9235654552
China,Activity,Processing of meat pigs,29094243.800043847
China,Activity,Processing of meat poultry,5546799.416434019
China,Activity,Processing of nuclear fuel,942103.8141938116
China,Activity,Processing vegetable oils and fats,71603561.72688271
China,Activity,Production of electricity by Geothermal,550.8573618142716
China,Activity,Production of electricity by biomass and waste,31370.122460574436
China,Activity,Production of electricity by coal,13856805.613976033
China,Activity,Production of electricity by gas,669240.2337609229
China,Activity,Production of electricity by hydro,2530832.280841145
China,Activity,Production of electricity by nuclear,462527.6059563407
China,Activity,Production of electricity by petroleum and other oil derivatives,63394.887958849344
China,Activity,Production of electricity by solar photovoltaic,9234.89922359668
China,Activity,Production of electricity by solar thermal,0.0
China,Activity,"Production of electricity by tide, wave, ocean",39.60446258514886
China,Activity,Production of electricity by wind,258160.0589043461
China,Activity,Production of electricity nec,0.0
China,Activity,Production of meat products nec,4091028.930291659
China,Activity,Public administration and defence; compulsory social security (75),476534.14567290037
China,Activity,"Publishing, printing and reproduction of recorded media (22)",18775788.98898987
China,Activity,Pulp,5608831.694915254
China,Activity,Quarrying of sand and clay,12846785616.445879
China,Activity,Quarrying of stone,68968186.1984569
China,Activity,Raw milk,4943529.869056308
China,Activity,Re-processing of ash into clinker,251092034.65290192
China,Activity,Re-processing of secondary aluminium into new aluminium,8111486.191586971
China,Activity,Re-processing of secondary construction material into aggregates,65528368.3095996
China,Activity,Re-processing of secondary copper into new copper,2403987.2522625504
China,Activity,Re-processing of secondary glass into new glass,76657891.73470795
China,Activity,Re-processing of secondary lead into new lead,1295322.6768605746
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,47669.35454110557
China,Activity,Re-processing of secondary paper into new pulp,30800412.510001946
China,Activity,Re-processing of secondary plastic into new plastic,18032971.214217987
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,11.447421232199018
China,Activity,Re-processing of secondary steel into new steel,282187759.1797833
China,Activity,Re-processing of secondary wood material into new wood material,5859526.502877856
China,Activity,Real estate activities (70),405062.83554965135
China,Activity,"Recreational, cultural and sporting activities (92)",78528.4644979374
China,Activity,Recycling of bottles by direct reuse,0.0
China,Activity,Recycling of waste and scrap,25417.029286620997
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),47582.65148855814
China,Activity,Research and development (73),66992.06297550049
China,Activity,Retail sale of automotive fuel,4514.864870223487
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",145454.7923068854
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",65997.38829160396
China,Activity,Sea and coastal water transport,50973.23810181171
China,Activity,Steam and hot water supply,3795176.3894333844
China,Activity,Steel production through 100%H2-DR,0.0
China,Activity,Steel production through NG-DR,0.0
China,Activity,Steel production with BF-BOF + CCUS,0.0
China,Activity,Steel production with H2 inj to BF,0.0
China,Activity,Steel production with charcoal inj to BF,0.0
China,Activity,Steel production with charcoal inj to BF + CCUS,0.0
China,Activity,Sugar refining,16440002.462255513
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),199970.13438943782
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",895614.1856185135
China,Activity,Transmission of electricity,30223.58590060247
China,Activity,Transport via pipelines,4333.66603911408
China,Activity,Transport via railways,38567.98122961519
China,Activity,"Waste water treatment, food",781955.6353409508
China,Activity,"Waste water treatment, other",79368188.94945762
China,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",282081.91897806164
China,Activity,"Wool, silk-worm cocoons",0.0
EU27,Activity,Activities auxiliary to financial intermediation (67),173214.62987425723
EU27,Activity,Activities of membership organisation n.e.c. (91),216562.83900958858
EU27,Activity,Air transport (62),129338.41052191539
EU27,Activity,Aluminium production,2348971.059947866
EU27,Activity,Animal products nec,155934.56816541433
EU27,Activity,"Biogasification of food waste, incl. land application",1100661.9959636568
EU27,Activity,"Biogasification of paper, incl. land application",133668.17177578076
EU27,Activity,"Biogasification of sewage slugde, incl. land application",3817894.9038929227
EU27,Activity,Blast furnace gas production,189363586.59919277
EU27,Activity,Casting of metals,13022015.085417977
EU27,Activity,Cattle farming,3916901.8533497485
EU27,Activity,Chemicals nec,115272507.5811336
EU27,Activity,"Collection, purification and distribution of water (41)",49293.70779035413
EU27,Activity,"Composting of food waste, incl. land application",14981012.48851589
EU27,Activity,"Composting of paper and wood, incl. land application",63908.23979989998
EU27,Activity,Computer and related activities (72),379750.66947978555
EU27,Activity,Construction (45),1696565.7927152668
EU27,Activity,Copper production,2000824.8263213956
EU27,Activity,Cultivation of cereal grains nec,124650779.96636157
EU27,Activity,Cultivation of crops nec,373151.5123224405
EU27,Activity,Cultivation of oil seeds,24213098.786965292
EU27,Activity,Cultivation of paddy rice,2649844.4615345737
EU27,Activity,Cultivation of plant-based fibers,1066386.2406694286
EU27,Activity,"Cultivation of sugar cane, sugar beet",26173932.314422287
EU27,Activity,"Cultivation of vegetables, fruit, nuts",46835867.96873498
EU27,Activity,Cultivation of wheat,104986426.57119134
EU27,Activity,Distribution and trade of electricity,142156.77691333115
EU27,Activity,Distribution of gaseous fuels through mains,121756.57440407012
EU27,Activity,Education (80),703800.3571113069
EU27,Activity,Extra-territorial organizations and bodies,0.0
EU27,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",27942955.123560183
EU27,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",105456381.02806239
EU27,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
EU27,Activity,"Financial intermediation, except insurance and pension funding (65)",584646.3230645834
EU27,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",998288.2895207736
EU27,Activity,"Forestry, logging and related service activities (02)",258083626.4776444
EU27,Activity,Health and social work (85),1291087.6051654746
EU27,Activity,Hotels and restaurants (55),704990.0971551079
EU27,Activity,Hydrogen production with electrolysis,5987226515.12658
EU27,Activity,Hydrogen production with steam reforming,65270632.196611635
EU27,Activity,Incineration of waste: Food,6883623.74406342
EU27,Activity,Incineration of waste: Metals and Inert materials,267644257.19171312
EU27,Activity,Incineration of waste: Oil/Hazardous waste,7974684.145125119
EU27,Activity,Incineration of waste: Paper,6433227.259929025
EU27,Activity,Incineration of waste: Plastic,31906818.146047026
EU27,Activity,Incineration of waste: Textiles,2129293.333600596
EU27,Activity,Incineration of waste: Wood,13926722.305381084
EU27,Activity,Inland water transport,6776.454394208274
EU27,Activity,"Insurance and pension funding, except compulsory social security (66)",225422.80538133954
EU27,Activity,Landfill of waste: Food,14919632.438992674
EU27,Activity,Landfill of waste: Inert/metal/hazardous,1110473159.3289595
EU27,Activity,Landfill of waste: Paper,6050661.809730298
EU27,Activity,Landfill of waste: Plastic,17598449.347598158
EU27,Activity,Landfill of waste: Textiles,1606074.2994844147
EU27,Activity,Landfill of waste: Wood,7369597.726915199
EU27,Activity,"Lead, zinc and tin production",3452144.196601295
EU27,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.0
EU27,Activity,Manufacture of beverages,9898377.750713382
EU27,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",30975900.304697122
EU27,Activity,"Manufacture of cement, lime and plaster",92088679.22635368
EU27,Activity,Manufacture of ceramic goods,10347151.002763966
EU27,Activity,Manufacture of coke oven products,36549802.64639898
EU27,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),32815674.030926347
EU27,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",110652518.26098847
EU27,Activity,Manufacture of fish products,393354.336627489
EU27,Activity,Manufacture of furniture; manufacturing n.e.c. (36),27137244.060982756
EU27,Activity,Manufacture of gas;,629133.4756729914
EU27,Activity,Manufacture of glass and glass products,27998873.19636576
EU27,Activity,Manufacture of machinery and equipment n.e.c. (29),73068158.65642561
EU27,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",8083173.147862088
EU27,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",651381.7944707411
EU27,Activity,Manufacture of office machinery and computers (30),1530794.7393874077
EU27,Activity,Manufacture of other non-metallic mineral products n.e.c.,72675176.08853196
EU27,Activity,Manufacture of other transport equipment (35),183882.33965450223
EU27,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7128940.876187327
EU27,Activity,Manufacture of rubber and plastic products (25),18941562.32457232
EU27,Activity,Manufacture of textiles (17),1961876.1768902591
EU27,Activity,Manufacture of tobacco products (16),441840.6882221505
EU27,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),627991.2148417148
EU27,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",61312175.24143689
EU27,Activity,Manufacturing of electrolyser,0.0
EU27,Activity,Manufacturing of steam reformer,0.0
EU27,Activity,"Manure treatment (biogas), storage and land application",0.0
EU27,Activity,"Manure treatment (conventional), storage and land application",183923919.21230692
EU27,Activity,Meat animals nec,917304.9591667475
EU27,Activity,Mining of aluminium ores and concentrates,640040.9321971925
EU27,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",114569521.42480084
EU27,Activity,Mining of coal and lignite; extraction of peat (10),557903694.3116962
EU27,Activity,Mining of copper ores and concentrates,796846.278441298
EU27,Activity,Mining of iron ores,19088235.237399783
EU27,Activity,"Mining of lead, zinc and tin ores and concentrates",954832.7102119314
EU27,Activity,Mining of nickel ores and concentrates,40856.80168527172
EU27,Activity,Mining of other non-ferrous metal ores and concentrates,328850.0006541027
EU27,Activity,Mining of precious metal ores and concentrates,1729.357708764905
EU27,Activity,Mining of uranium and thorium ores (12),395.20892011428595
EU27,Activity,N-fertiliser,10770921.06799248
EU27,Activity,Other business activities (74),1546147.2637564798
EU27,Activity,Other land transport,470810.76203090016
EU27,Activity,Other non-ferrous metal production,1819472.1724088714
EU27,Activity,Other service activities (93),130182.65621314869
EU27,Activity,P- and other fertiliser,5716485.4158195015
EU27,Activity,Paper,27369102.91522194
EU27,Activity,Petroleum Refinery,674578387.6118294
EU27,Activity,Pigs farming,14538685.287865361
EU27,Activity,"Plastics, basic",52422314.56919363
EU27,Activity,Post and telecommunications (64),508865.784240815
EU27,Activity,Poultry farming,8338596.102623549
EU27,Activity,Precious metals production,1892.2396641411615
EU27,Activity,Private households with employed persons (95),69855.28103863339
EU27,Activity,Processed rice,2097882.398201427
EU27,Activity,Processing of Food products nec,87999135.52444886
EU27,Activity,Processing of dairy products,15353852.870502835
EU27,Activity,Processing of meat cattle,3085629.149226655
EU27,Activity,Processing of meat pigs,13217210.077010682
EU27,Activity,Processing of meat poultry,3937519.9480568995
EU27,Activity,Processing of nuclear fuel,9077638.942640815
EU27,Activity,Processing vegetable oils and fats,47477990.06495662
EU27,Activity,Production of electricity by Geothermal,29612.708639819986
EU27,Activity,Production of electricity by biomass and waste,186124.02502994743
EU27,Activity,Production of electricity by coal,2463615.6334343893
EU27,Activity,Production of electricity by gas,1749380.950940445
EU27,Activity,Production of electricity by hydro,1585849.1135801177
EU27,Activity,Production of electricity by nuclear,3159291.3797977213
EU27,Activity,Production of electricity by petroleum and other oil derivatives,223177.95745523612
EU27,Activity,Production of electricity by solar photovoltaic,232110.7669432356
EU27,Activity,Production of electricity by solar thermal,6716.569808659794
EU27,Activity,"Production of electricity by tide, wave, ocean",2771.7143250062954
EU27,Activity,Production of electricity by wind,849776.3942723284
EU27,Activity,Production of electricity nec,4153.217988424392
EU27,Activity,Production of meat products nec,720120.6492358012
EU27,Activity,Public administration and defence; compulsory social security (75),977873.5189070853
EU27,Activity,"Publishing, printing and reproduction of recorded media (22)",2533428.6779737533
EU27,Activity,Pulp,31478468.187363654
EU27,Activity,Quarrying of sand and clay,1514028715.4847822
EU27,Activity,Quarrying of stone,1192960788.0366788
EU27,Activity,Raw milk,17496838.31691774
EU27,Activity,Re-processing of ash into clinker,38055642.21552121
EU27,Activity,Re-processing of secondary aluminium into new aluminium,4642889.041527894
EU27,Activity,Re-processing of secondary construction material into aggregates,393066534.42162585
EU27,Activity,Re-processing of secondary copper into new copper,900295.1167994034
EU27,Activity,Re-processing of secondary glass into new glass,23345118.46612368
EU27,Activity,Re-processing of secondary lead into new lead,1845160.9331920857
