Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68098.62998469874
China,Activity,Activities of membership organisation n.e.c. (91),74769.92439246947
China,Activity,Air transport (62),60625.619978214905
China,Activity,Aluminium production,18114741.61950218
China,Activity,Animal products nec,328767.0136750489
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538688.2253247667
China,Activity,Blast furnace gas production,0.0
China,Activity,Casting of metals,11312598.28275484
China,Activity,Cattle farming,3230723.7520554727
China,Activity,Chemicals nec,267890781.42448735
China,Activity,"Collection, purification and distribution of water (41)",13511.72495347356
China,Activity,"Composting of food waste, incl. land application",1241687.9608959164
China,Activity,"Composting of paper and wood, incl. land application",182904.96842609593
China,Activity,Computer and related activities (72),222076.6574685155
China,Activity,Construction (45),1390156.2301376509
China,Activity,Copper production,3073285.7231920995
China,Activity,Cultivation of cereal grains nec,172418453.1057937
China,Activity,Cultivation of crops nec,1801753.7483421061
China,Activity,Cultivation of oil seeds,32368922.549632937
China,Activity,Cultivation of paddy rice,172262020.12246457
China,Activity,Cultivation of plant-based fibers,13564905.925850522
China,Activity,"Cultivation of sugar cane, sugar beet",36896457.39755145
China,Activity,"Cultivation of vegetables, fruit, nuts",223844299.53804517
China,Activity,Cultivation of wheat,99796538.84321159
China,Activity,Distribution and trade of electricity,82734.45907975579
China,Activity,Distribution of gaseous fuels through mains,11312.328923634723
China,Activity,Education (80),326659.56982001336
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203523309.02969652
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85519813.37127908
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268947.92395198665
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423992.023963498
China,Activity,"Forestry, logging and related service activities (02)",199037259.69219625
China,Activity,Health and social work (85),300999.08189135493
China,Activity,Hotels and restaurants (55),331052.74627448915
China,Activity,Incineration of waste: Food,677083.2858715123
China,Activity,Incineration of waste: Metals and Inert materials,501465.19497010903
China,Activity,Incineration of waste: Oil/Hazardous waste,2415583.0552385957
China,Activity,Incineration of waste: Paper,24258913.69161073
China,Activity,Incineration of waste: Plastic,66427076.562460735
China,Activity,Incineration of waste: Textiles,412769.4841621192
China,Activity,Incineration of waste: Wood,144325.476955507
China,Activity,Inland water transport,3490.9147876992465
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124367.87488000427
China,Activity,Landfill of waste: Food,83174718.05737697
