Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),68098.6308413499
China,Activity,Activities of membership organisation n.e.c. (91),74769.92441961695
China,Activity,Air transport (62),60625.62110312304
China,Activity,Aluminium production,18114741.95422806
China,Activity,Animal products nec,328767.01374314725
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",538688.2287891353
China,Activity,Blast furnace gas production,1158957908.2622466
China,Activity,Casting of metals,11312598.474164214
China,Activity,Cattle farming,3230723.7784434464
China,Activity,Chemicals nec,267890790.31892198
China,Activity,"Collection, purification and distribution of water (41)",13511.725008449685
China,Activity,"Composting of food waste, incl. land application",1241687.967464216
China,Activity,"Composting of paper and wood, incl. land application",182904.97083385134
China,Activity,Computer and related activities (72),222076.6597647977
China,Activity,Construction (45),1390156.2306565144
China,Activity,Copper production,3073285.7707717763
China,Activity,Cultivation of cereal grains nec,172418454.02953914
China,Activity,Cultivation of crops nec,1801753.787361097
China,Activity,Cultivation of oil seeds,32368922.77376224
China,Activity,Cultivation of paddy rice,172262021.10532218
China,Activity,Cultivation of plant-based fibers,13564906.036302824
China,Activity,"Cultivation of sugar cane, sugar beet",36896457.74198994
China,Activity,"Cultivation of vegetables, fruit, nuts",223844300.5430874
China,Activity,Cultivation of wheat,99796539.28085077
China,Activity,Distribution and trade of electricity,82734.46029170931
China,Activity,Distribution of gaseous fuels through mains,11312.328975591148
China,Activity,Education (80),326659.56982294796
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",203523374.77630532
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",85528014.5945139
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",268947.92775957054
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3423992.0254546106
China,Activity,"Forestry, logging and related service activities (02)",199037262.95763877
China,Activity,Health and social work (85),300999.08199314715
China,Activity,Hotels and restaurants (55),331052.7499634154
China,Activity,Hydrogen production with electrolysis,0.0
China,Activity,Hydrogen production with steam reforming,0.0
China,Activity,Incineration of waste: Food,677083.2903526116
China,Activity,Incineration of waste: Metals and Inert materials,501465.19515727815
China,Activity,Incineration of waste: Oil/Hazardous waste,2415583.1171573168
China,Activity,Incineration of waste: Paper,24258913.93086164
China,Activity,Incineration of waste: Plastic,66427078.235881716
China,Activity,Incineration of waste: Textiles,412769.4872998672
China,Activity,Incineration of waste: Wood,144325.48039081844
China,Activity,Inland water transport,3490.914854623564
China,Activity,"Insurance and pension funding, except compulsory social security (66)",124367.87635355283
China,Activity,Landfill of waste: Food,83174718.34677228
China,Activity,Landfill of waste: Inert/metal/hazardous,2205257614.4391294
China,Activity,Landfill of waste: Paper,37721681.098313466
China,Activity,Landfill of waste: Plastic,9289523.344137987
China,Activity,Landfill of waste: Textiles,8823611.94521618
China,Activity,Landfill of waste: Wood,6541628.941203544
China,Activity,"Lead, zinc and tin production",9841684.236747479
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1237310881.179846
China,Activity,Manufacture of beverages,16607582.85048018
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",45484476.017178744
China,Activity,"Manufacture of cement, lime and plaster",785991321.6574001
China,Activity,Manufacture of ceramic goods,9192157.50153685
China,Activity,Manufacture of coke oven products,474837283.15892845
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),178962774.18755233
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",155250724.08333316
China,Activity,Manufacture of fish products,1987796.48294914
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),72764814.89626627
China,Activity,Manufacture of gas;,6746438.099995272
China,Activity,Manufacture of glass and glass products,12759182.08242128
China,Activity,Manufacture of machinery and equipment n.e.c. (29),260990888.06282043
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6966041.074260047
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",428424.3533329001
China,Activity,Manufacture of office machinery and computers (30),25608280.228652686
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107496398.56350073
China,Activity,Manufacture of other transport equipment (35),322663.3185730383
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",40539712.40269676
China,Activity,Manufacture of rubber and plastic products (25),83150869.01902126
China,Activity,Manufacture of textiles (17),24537516.3924419
China,Activity,Manufacture of tobacco products (16),1978938.4063912823
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8559621.609390466
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",84160989.36214003
China,Activity,Manufacturing of electrolyser,0.0
China,Activity,Manufacturing of steam reformer,0.0
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",277660714.49415624
China,Activity,Meat animals nec,4947933.627355966
China,Activity,Mining of aluminium ores and concentrates,14338363.163993658
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",256243228.14255637
China,Activity,Mining of coal and lignite; extraction of peat (10),3370883638.0950184
China,Activity,Mining of copper ores and concentrates,1294595.0269720992
China,Activity,Mining of iron ores,398055268.70517635
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6582931.007598441
China,Activity,Mining of nickel ores and concentrates,89789.4743687795
China,Activity,Mining of other non-ferrous metal ores and concentrates,5061320.197915704
China,Activity,Mining of precious metal ores and concentrates,3594.008209968956
China,Activity,Mining of uranium and thorium ores (12),1499.8372877060629
China,Activity,N-fertiliser,37824793.62312688
China,Activity,Other business activities (74),407793.29248903116
China,Activity,Other land transport,117952.25986927841
China,Activity,Other non-ferrous metal production,10310648.397103507
China,Activity,Other service activities (93),132454.57985005993
China,Activity,P- and other fertiliser,21020434.605900597
China,Activity,Paper,119188094.3128097
China,Activity,Petroleum Refinery,566495713.8032162
China,Activity,Pigs farming,31753377.75704684
China,Activity,"Plastics, basic",79957160.97671181
China,Activity,Post and telecommunications (64),36610.411854636506
China,Activity,Poultry farming,15729514.619964164
China,Activity,Precious metals production,3697.9683390402542
China,Activity,Private households with employed persons (95),28695.13534004373
China,Activity,Processed rice,139163141.3203485
China,Activity,Processing of Food products nec,238581303.6971231
China,Activity,Processing of dairy products,1529347.1725524375
China,Activity,Processing of meat cattle,3013910.68666646
China,Activity,Processing of meat pigs,29093380.99238163
