From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0006057413218309999
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,5.134117372360063e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,1.0875956347516178e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,8.018270894571424e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,4.055822656917517e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,3.3982425467950145e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,2.039018492930978e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,3.0252168170438767e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,9.451689754602094e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,1.2637678747296984e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,4.035158442707365e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,5.722111197262779e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0001737197175042407
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,4.470674107168783e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,3.8391945988787174e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,1.853303164953909e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.00015994250563385504
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,3.297594932430607e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,1.1702242400178657e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,7.5362978452352955e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,2.9435557633678388e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,3.723074686914206e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.10125438317566766
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0003533259246452517
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0009015208614527215
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.00046488119264707895
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0006476838521202221
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0008652453800836885
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0012192675907361488
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.00030976184266344453
AU,Electricity production and transmission,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0005523227527455414
AU,Electricity production and transmission,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0004217552696939929
AU,Electricity production and transmission,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.00043086340277826373
AU,Electricity production and transmission,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0008535495409065215
AU,Electricity production and transmission,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0005737967654030022
AU,Electricity production and transmission,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.00022376348296953283
AU,Electricity production and transmission,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0019292409617173098
AU,Electricity production and transmission,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0004778809887265783
AU,Electricity production and transmission,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.001440649475625697
AU,Electricity production and transmission,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0006678108496776491
AU,Electricity production and transmission,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.00014042147145559584
AU,Electricity production and transmission,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,8.260227552629992e-05
AU,Electricity production and transmission,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.000350003191346435
AU,Electricity production and transmission,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.00019604244636748397
AU,Hydrogen production,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0
AU,Hydrogen production,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0
AU,Hydrogen production,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0
AU,Hydrogen production,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0
AU,Hydrogen production,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,Baseline,2022,100% green H2,tonCO2eq/ton steel,0.0
