From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,0.0006058449943631307
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,5.156083990110428e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,1.0955238187087672e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,8.024100221962141e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,4.058178468007415e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,4.837547260627913e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,2.0418444377162783e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,3.0266906661703412e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,9.457821920436104e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,1.2658604169192744e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,4.0423801638382725e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,5.728427877884079e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,0.00017416269864485085
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,4.479016456184211e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,3.881967919761104e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,1.8742082668765027e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,0.0001599989798686763
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,3.299116233124351e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,1.1728191776431034e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,7.5790853661134055e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,3.027971265828031e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,3.723154837822068e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,0.10125579067503082
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,0.00035362186448356387
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,0.000902590663456961
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,0.0004578907886475192
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,Average,tonCO2eq/ton steel,0.0006479567337300996
