From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,0.0006058468559033747
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,5.156498760055117e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,1.09567094288781e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,8.023233607068098e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,4.058243736112295e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,4.853571542447639e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,2.0416234140024205e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,3.026760964767832e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,9.458169818328833e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,1.266196242534023e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,4.042525602665282e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,5.728541748605498e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,0.00017417436406975885
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,4.479290776671994e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,3.882869724523277e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,1.8746137433423684e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,EE 2022,tonCO2eq/ton steel,0.00015999947559606077
