From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0006058508436475567
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,5.15732442572201e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,1.0959713786914484e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,8.024355643912309e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,4.0583125303185844e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,4.9182683623209864e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,2.0419876465041514e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,3.026775997025135e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,9.458179530410122e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,1.2659939330370565e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,4.042788378303665e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,5.7287843226725656e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0001741878963846459
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,4.479493654462574e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,3.884388808484312e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,1.8753895004001116e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0001600021340976314
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,3.2992316507419474e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,1.1729695619312478e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,7.581506422811115e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,3.032713611409614e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,3.723160722321267e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.10125583337868281
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0003536309203646108
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0009026233379683688
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00045790943597018947
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0006479665211300758
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.001088291215487903
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0012191724469330322
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0003098741114992412
AU,Electricity production and transmission,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0005523509078586448
AU,Electricity production and transmission,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0004216640789506989
AU,Electricity production and transmission,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0004318309084909784
AU,Electricity production and transmission,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0008544441026964814
AU,Electricity production and transmission,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0005799887037766352
AU,Electricity production and transmission,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00022479533259524168
AU,Electricity production and transmission,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0019353077864395767
AU,Electricity production and transmission,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00048084140708113467
AU,Electricity production and transmission,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0014413017839049519
AU,Electricity production and transmission,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0006655399665532867
AU,Electricity production and transmission,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.000140638314585966
AU,Electricity production and transmission,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,8.317958297751092e-05
AU,Electricity production and transmission,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00036275081820783244
AU,Electricity production and transmission,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00019599439030493318
AU,Hydrogen production,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Hydrogen production,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0
AU,Manufacturing and processing activities,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0949455310228804
AU,Manufacturing and processing activities,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,2.5146082457105745e-05
AU,Manufacturing and processing activities,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00021597765563092993
AU,Manufacturing and processing activities,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,8.537425220290636e-05
AU,Manufacturing and processing activities,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,8.084592472512917e-05
AU,Manufacturing and processing activities,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00017367001622293793
AU,Manufacturing and processing activities,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00011246587573034724
AU,Manufacturing and processing activities,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,5.4777832096545124e-05
AU,Manufacturing and processing activities,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,4.985178245249038e-05
AU,Manufacturing and processing activities,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,7.3894412663783e-05
AU,Manufacturing and processing activities,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,7.430320330379307e-05
AU,Manufacturing and processing activities,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0004094117313070669
AU,Manufacturing and processing activities,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,9.883350938059328e-05
AU,Manufacturing and processing activities,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,3.047784618996441e-05
AU,Manufacturing and processing activities,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0001258189877874366
AU,Manufacturing and processing activities,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00020509480070587103
AU,Manufacturing and processing activities,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0001504104544588883
AU,Manufacturing and processing activities,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,7.310805204810169e-05
AU,Manufacturing and processing activities,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,4.358318006619014e-05
AU,Manufacturing and processing activities,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,3.837368306241106e-05
AU,Manufacturing and processing activities,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00012066257681737395
AU,Manufacturing and processing activities,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,2.4107115195318702e-05
AU,Mining and extraction activities; metals production,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.05854525208453068
AU,Mining and extraction activities; metals production,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.007445311729236672
AU,Mining and extraction activities; metals production,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00895544059596045
AU,Mining and extraction activities; metals production,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.003510413115845403
AU,Mining and extraction activities; metals production,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00528428974035161
AU,Mining and extraction activities; metals production,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.005809776584909949
AU,Mining and extraction activities; metals production,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.006859373886984978
AU,Mining and extraction activities; metals production,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.002131626009456334
AU,Mining and extraction activities; metals production,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.008928539318680673
AU,Mining and extraction activities; metals production,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.006923824565175361
AU,Mining and extraction activities; metals production,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.004552904024134603
AU,Mining and extraction activities; metals production,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0026214970690060014
AU,Mining and extraction activities; metals production,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0047427581080461195
AU,Mining and extraction activities; metals production,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0028735040581726783
AU,Mining and extraction activities; metals production,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.034960870221519134
AU,Mining and extraction activities; metals production,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.00341168957446013
AU,Mining and extraction activities; metals production,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.005663805814120042
AU,Mining and extraction activities; metals production,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-H2,2030,H2 100%ELZ,tonCO2eq/ton steel,0.0018394488560690145
