From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,0.0006058369137740586
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,5.154370369654568e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,1.094905529402235e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,8.023747364924943e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,4.0579932653836945e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,4.7260337436176296e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,2.0416465995739913e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,3.0265727844139382e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,9.457327894137868e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,1.2656759688804416e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,4.0418162291314615e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,5.727935461384813e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,0.00017412788880625762
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,4.478357222761822e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,3.878623542080196e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,1.872576432309767e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,0.0001599946224077591
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,3.298956787547642e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,1.172611426767228e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,7.57574075525019e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,3.021419874284847e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,3.723146707617396e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,0.10125577800443997
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,CCUS max,tonCO2eq/ton steel,0.0003536191774816758
