From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0006058447975803589
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,5.156042258706864e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,1.0955087616487158e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,8.02409162894874e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,4.0581739578173324e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,4.834831597398795e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,2.0418396198340354e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,3.0266877953851256e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,9.457809889532857e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,1.2658559251079204e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,4.042366430466598e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,5.728415886267157e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.00017416185092935773
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,4.479000402093963e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,3.8818864745922486e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,1.8741685273055924e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.00015999887375265243
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,3.29911235022814e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,1.1728141183463189e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,7.579003915684869e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,3.027811721957055e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,3.7231546396628805e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.10125643337161318
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0003537581586456378
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0009030824248553651
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.00045817143625582644
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0006481040361649914
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0011710912704509821
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0012193193440091928
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.000309961640076219
AU,Electricity production and transmission,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.000552387589872017
AU,Electricity production and transmission,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.00042180103369708757
AU,Electricity production and transmission,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.00043224963639820107
AU,Electricity production and transmission,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0008548097275473998
AU,Electricity production and transmission,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0005825733739665147
AU,Electricity production and transmission,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0002252848204408685
AU,Electricity production and transmission,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0019377910247941265
AU,Electricity production and transmission,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0004820530628844984
AU,Electricity production and transmission,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0014416253309529324
AU,Electricity production and transmission,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Mix,2030,H2-inj min,tonCO2eq/ton steel,0.0006656583567026083
