From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.000606017869939453
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,5.1927543761250375e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,1.108754585905717e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,8.035805122971198e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,4.062161125094183e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,7.214064071638904e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,2.0463200061535037e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,3.0292520070506175e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,9.4686407032764e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,1.26993337269003e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,4.0544598941322906e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,5.7389573670529844e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.00017491078939582626
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,4.493159246947383e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,3.9534485659449307e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,1.909093749953882e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.00016009289725790366
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,3.303471379458894e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,1.1773247794879151e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,7.65072159057802e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,3.167730001676977e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,3.72335377531907e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.10125688678016213
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.00035385400689561674
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.0009034283286083001
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.000457009893411721
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.0006482012667143949
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.0012366706719708605
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.001219350848578942
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.0003100148998084957
AU,Electricity production and transmission,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.0005524071442606986
AU,Electricity production and transmission,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.00042186302017805044
AU,Electricity production and transmission,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.000432561174319787
AU,Electricity production and transmission,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.00085508773937936
AU,Electricity production and transmission,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.0005844162921996177
AU,Electricity production and transmission,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj max,tonCO2eq/ton steel,0.0002256418992884853
