From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.0006060375166305612
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,5.1969207496587205e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,1.1102578506132121e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,8.03665087186431e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,4.062611356501676e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,7.485218703716239e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,2.0468003071466473e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,3.0295385028180058e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,9.469841120221181e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,1.2703814578122623e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,4.0558309695630516e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,5.74015461621891e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.00017499541421446817
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,4.494761955234522e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,3.961580099529403e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,1.9130613765102728e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.0001601034897141944
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,3.303856282811381e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,1.1778297144744682e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,7.658853248025379e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,3.183659863694843e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,3.7233734681996955e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.10125657978782424
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.000353788904601163
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.0009031934337092528
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.0004568777396402709
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.0006481309151583104
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.0011943009962905769
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.0012192757984262714
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,CHL-inj min,tonCO2eq/ton steel,0.00030997013299303755
