From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.0006059961878285563
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,5.1881686809007616e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,1.1070975967023958e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,8.030255902276645e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,4.061669590997829e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,6.91287880305437e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,2.0453094072454947e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,3.0289459515285544e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,9.467339183017699e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,1.2696324109038244e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,4.052950218679577e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,5.737641052713674e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.0001748176941873581
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,4.491483462929822e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,3.944670529352954e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,1.9047684569340626e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.00016008008874985135
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,3.30291009267251e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,1.1767942075856564e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,7.641814142941143e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,3.1500795458481385e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,3.7233380909469176e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.10125752087253652
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.00035399135912681515
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.0009039217800112171
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.00046635668654541163
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.0006484036777213536
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.0012979379950579467
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.0012200420754526486
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.00031022094248429395
AU,Electricity production and transmission,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.0005525154154169077
AU,Electricity production and transmission,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,EE 2022,tonCO2eq/ton steel,0.00042247726239121166
