From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,0.0006059956379427793
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,5.188039750163638e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,1.1070535068343644e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,8.034848082027102e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,4.06165164779646e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,6.907228243599264e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,2.0457765024194405e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,3.0289278113478432e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,9.467282323633035e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,1.2694263241054623e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,4.052908399089847e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,5.737602572038245e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,0.00017481502881058907
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%ELZ,tonCO2eq/ton steel,4.491345638631843e-05
