From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0006059953915061548
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,5.1879874903016634e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,1.107034651057555e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,8.034837473569801e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,4.0616460004309735e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,6.903827081355699e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,2.0457704777904223e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,3.0289242177821878e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,9.467267266475072e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,1.2694207036565813e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,4.052891201327434e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,5.7375875545375335e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.00017481396733956653
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,4.491325535412409e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,3.944145009533528e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,1.904554257073661e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.00016008077808405614
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,3.303030999022784e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,1.1767470672519666e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,7.641417890828197e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,3.1495041190623716e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,3.7233312446808403e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.10125647140276348
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0003537659199903776
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0009031105032212116
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.00045683108216843947
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0006481060772110243
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0011793422024373081
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.001219249301599593
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0003099543278687711
AU,Electricity production and transmission,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0005523817646201257
AU,Electricity production and transmission,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0004217682845066272
AU,Electricity production and transmission,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0004322712967072128
AU,Electricity production and transmission,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0008548346127655658
AU,Electricity production and transmission,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0005826271245484748
AU,Electricity production and transmission,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.00022530304910004314
AU,Electricity production and transmission,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0019379708731222345
AU,Electricity production and transmission,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0004821383135221026
AU,Electricity production and transmission,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.001441623173958038
AU,Electricity production and transmission,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0006653576386479488
AU,Electricity production and transmission,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.00014078243532726812
AU,Electricity production and transmission,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,8.344099255526069e-05
AU,Electricity production and transmission,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0003680546724460276
AU,Electricity production and transmission,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.00019599264172605413
AU,Hydrogen production,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0
AU,Hydrogen production,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0
AU,Hydrogen production,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0
AU,Hydrogen production,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,GS-Scrap,2050,H2 100%SR,tonCO2eq/ton steel,0.0
