From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.0006057387379106614
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,5.133553048012256e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,1.0873943967706506e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,8.020562823749731e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,4.055748552854604e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,3.368750426177681e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,2.0393074214674034e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,3.0251510181216754e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,9.451391897887292e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,1.2634686623928146e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,4.0349686184557426e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,5.721951412819598e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.00017370585787105215
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,4.470358204700783e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,3.8379724797486365e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,1.8527434444362193e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.0001599418651819531
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,3.2972700186148985e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,1.1701035196300893e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,7.535126824991488e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,2.941716672452882e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,3.723054572501321e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.10125322223392365
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.00035307631392096113
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.0009006224836758255
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.0004528810804196321
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.0006473489336046909
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.0007365520056962834
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.0012183057825779706
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,IEA STEPS,2050,EE clean,tonCO2eq/ton steel,0.00030945634185450054
