From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0006059027611951601
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,5.168334387331856e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,1.0999438692652598e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,8.026622739395072e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,4.0595024517579393e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,5.6347394467036375e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,2.043258750731731e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,3.0275333838512953e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,9.461353634837184e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,1.267179006301026e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,4.0464116422862986e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,5.731948084177368e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0001744115485814161
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,4.483729209568189e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,3.9058763376488444e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,1.885873989252015e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.00016003013065995486
AU,Agriculture,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,3.300256083837162e-05
AU,Agriculture,WF,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,1.1743043552653541e-05
AU,Agriculture,WL,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,7.602995445067039e-06
AU,Agriculture,WM,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,3.0748061139955706e-05
AU,Agriculture,ZA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,3.7232129548532714e-05
AU,Electricity production and transmission,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.10125785305956783
AU,Electricity production and transmission,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0003540592267000252
AU,Electricity production and transmission,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.00090416870459775
AU,Electricity production and transmission,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0004587913748179542
AU,Electricity production and transmission,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0006484294208270919
AU,Electricity production and transmission,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0013670106836508363
AU,Electricity production and transmission,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0012196669281523058
AU,Electricity production and transmission,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0003101687479494536
AU,Electricity production and transmission,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0005524743859315708
AU,Electricity production and transmission,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.00042212509276458245
AU,Electricity production and transmission,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0004332404199023465
AU,Electricity production and transmission,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0008556748599360992
AU,Electricity production and transmission,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0005886891555380139
AU,Electricity production and transmission,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.00022644303553289317
AU,Electricity production and transmission,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0019436668013567378
AU,Electricity production and transmission,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0004849200523020475
AU,Electricity production and transmission,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0014423908983145196
AU,Electricity production and transmission,WE,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,Average,tonCO2eq/ton steel,0.0006659384885318525
