From,Activity,To,Level,Item,Scenario,Year,Sensitivity,Unit,Value
AU,Agriculture,AU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,0.000605902761196965
AU,Agriculture,BR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,5.168334387297875e-06
AU,Agriculture,CA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,1.0999438692684726e-05
AU,Agriculture,CH,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,8.026622739402786e-05
AU,Agriculture,CN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,4.0595024517555046e-05
AU,Agriculture,EU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,5.634739446751603e-05
AU,Agriculture,GB,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,2.043258750749957e-05
AU,Agriculture,ID,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,3.0275333838505475e-05
AU,Agriculture,IN,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,9.461353634846998e-06
AU,Agriculture,JP,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,1.2671790063139151e-05
AU,Agriculture,KR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,4.046411642289676e-05
AU,Agriculture,MX,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,5.731948084259613e-05
AU,Agriculture,NO,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,0.00017441154858188724
AU,Agriculture,RU,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,4.483729209593963e-05
AU,Agriculture,TR,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,3.9058763374359525e-05
AU,Agriculture,US,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,1.885873989584842e-05
AU,Agriculture,WA,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,REPowerEU,2030,CCUS max,tonCO2eq/ton steel,0.00016003013065762217
