Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.1643297907491,Baseline,2022,100% green H2,EUR/ton steel
BR,583.0349468918315,Baseline,2022,100% green H2,EUR/ton steel
CA,529.5254876663968,Baseline,2022,100% green H2,EUR/ton steel
CH,1424.7234859612292,Baseline,2022,100% green H2,EUR/ton steel
CN,251.0914687461708,Baseline,2022,100% green H2,EUR/ton steel
EU,469.8525192952167,Baseline,2022,100% green H2,EUR/ton steel
GB,376.8620834564384,Baseline,2022,100% green H2,EUR/ton steel
ID,384.4536903433711,Baseline,2022,100% green H2,EUR/ton steel
IN,222.59395654936932,Baseline,2022,100% green H2,EUR/ton steel
JP,506.30449760397136,Baseline,2022,100% green H2,EUR/ton steel
KR,376.1278362401047,Baseline,2022,100% green H2,EUR/ton steel
MX,499.69614716424877,Baseline,2022,100% green H2,EUR/ton steel
NO,664.0559544527289,Baseline,2022,100% green H2,EUR/ton steel
RU,355.54710629653476,Baseline,2022,100% green H2,EUR/ton steel
TR,320.7914870884112,Baseline,2022,100% green H2,EUR/ton steel
US,676.0498971663404,Baseline,2022,100% green H2,EUR/ton steel
WA,681.5313284361218,Baseline,2022,100% green H2,EUR/ton steel
WE,185.06803408358175,Baseline,2022,100% green H2,EUR/ton steel
WF,529.9406606762252,Baseline,2022,100% green H2,EUR/ton steel
WL,1182.8765594547392,Baseline,2022,100% green H2,EUR/ton steel
WM,624.968197349092,Baseline,2022,100% green H2,EUR/ton steel
ZA,234.38860483106745,Baseline,2022,100% green H2,EUR/ton steel
