Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.16432978847354,Baseline,2022,Average,EUR/ton steel
BR,583.0349468812664,Baseline,2022,Average,EUR/ton steel
CA,529.525487659346,Baseline,2022,Average,EUR/ton steel
CH,1424.723485967118,Baseline,2022,Average,EUR/ton steel
CN,251.0914687419977,Baseline,2022,Average,EUR/ton steel
EU,469.85251926380784,Baseline,2022,Average,EUR/ton steel
GB,376.8620835394815,Baseline,2022,Average,EUR/ton steel
ID,384.453690369453,Baseline,2022,Average,EUR/ton steel
IN,222.5939565252997,Baseline,2022,Average,EUR/ton steel
JP,506.30449760906123,Baseline,2022,Average,EUR/ton steel
KR,376.1278361962121,Baseline,2022,Average,EUR/ton steel
MX,499.6961470657611,Baseline,2022,Average,EUR/ton steel
NO,664.0559544590046,Baseline,2022,Average,EUR/ton steel
RU,355.5471064052781,Baseline,2022,Average,EUR/ton steel
TR,320.79148777472545,Baseline,2022,Average,EUR/ton steel
US,676.0498971130938,Baseline,2022,Average,EUR/ton steel
WA,681.5313271449248,Baseline,2022,Average,EUR/ton steel
WE,185.06803408283787,Baseline,2022,Average,EUR/ton steel
WF,529.9406606703393,Baseline,2022,Average,EUR/ton steel
WL,1182.8765600042177,Baseline,2022,Average,EUR/ton steel
WM,624.9681952240877,Baseline,2022,Average,EUR/ton steel
ZA,234.3886057727812,Baseline,2022,Average,EUR/ton steel
