Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.30905499028415,GS-Delayed,2030,CCUS max,EUR/ton steel
BR,583.0652246674337,GS-Delayed,2030,CCUS max,EUR/ton steel
CA,529.6350445976279,GS-Delayed,2030,CCUS max,EUR/ton steel
CH,1423.4223841741125,GS-Delayed,2030,CCUS max,EUR/ton steel
CN,251.11625218998645,GS-Delayed,2030,CCUS max,EUR/ton steel
EU,493.7049248168831,GS-Delayed,2030,CCUS max,EUR/ton steel
GB,376.81287358743054,GS-Delayed,2030,CCUS max,EUR/ton steel
ID,384.45801441033234,GS-Delayed,2030,CCUS max,EUR/ton steel
IN,222.59252064276933,GS-Delayed,2030,CCUS max,EUR/ton steel
JP,506.2681667607347,GS-Delayed,2030,CCUS max,EUR/ton steel
KR,376.2212305045269,GS-Delayed,2030,CCUS max,EUR/ton steel
MX,499.786266738563,GS-Delayed,2030,CCUS max,EUR/ton steel
NO,664.6763352486066,GS-Delayed,2030,CCUS max,EUR/ton steel
RU,355.64064494287857,GS-Delayed,2030,CCUS max,EUR/ton steel
TR,321.40436178389996,GS-Delayed,2030,CCUS max,EUR/ton steel
US,676.34834015631,GS-Delayed,2030,CCUS max,EUR/ton steel
WA,681.5854630024943,GS-Delayed,2030,CCUS max,EUR/ton steel
WE,184.65559708014595,GS-Delayed,2030,CCUS max,EUR/ton steel
WF,529.9516735857665,GS-Delayed,2030,CCUS max,EUR/ton steel
WL,1182.9326459351603,GS-Delayed,2030,CCUS max,EUR/ton steel
WM,626.3093746691171,GS-Delayed,2030,CCUS max,EUR/ton steel
ZA,234.3794636967735,GS-Delayed,2030,CCUS max,EUR/ton steel
