Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.30905498016585,GS-Delayed,2030,CCUS min,EUR/ton steel
BR,583.0652246756681,GS-Delayed,2030,CCUS min,EUR/ton steel
CA,529.6350445911676,GS-Delayed,2030,CCUS min,EUR/ton steel
CH,1423.4223841775574,GS-Delayed,2030,CCUS min,EUR/ton steel
CN,251.11625219070507,GS-Delayed,2030,CCUS min,EUR/ton steel
EU,493.70492481244554,GS-Delayed,2030,CCUS min,EUR/ton steel
GB,376.81287358749205,GS-Delayed,2030,CCUS min,EUR/ton steel
ID,384.458014393256,GS-Delayed,2030,CCUS min,EUR/ton steel
IN,222.59252064182303,GS-Delayed,2030,CCUS min,EUR/ton steel
JP,506.2681667604736,GS-Delayed,2030,CCUS min,EUR/ton steel
KR,376.2212304871688,GS-Delayed,2030,CCUS min,EUR/ton steel
MX,499.7862667679142,GS-Delayed,2030,CCUS min,EUR/ton steel
NO,664.6763352084762,GS-Delayed,2030,CCUS min,EUR/ton steel
RU,355.64064420587715,GS-Delayed,2030,CCUS min,EUR/ton steel
TR,321.40436215361274,GS-Delayed,2030,CCUS min,EUR/ton steel
US,676.3483399182353,GS-Delayed,2030,CCUS min,EUR/ton steel
WA,681.5854629438261,GS-Delayed,2030,CCUS min,EUR/ton steel
WE,184.6555971922412,GS-Delayed,2030,CCUS min,EUR/ton steel
WF,529.9516735803036,GS-Delayed,2030,CCUS min,EUR/ton steel
WL,1182.9326463570137,GS-Delayed,2030,CCUS min,EUR/ton steel
WM,626.3093717190062,GS-Delayed,2030,CCUS min,EUR/ton steel
ZA,234.37946500385766,GS-Delayed,2030,CCUS min,EUR/ton steel
