Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.34558818625754,GS-Delayed,2030,CHL-inj max,EUR/ton steel
BR,583.0729721362906,GS-Delayed,2030,CHL-inj max,EUR/ton steel
CA,529.6629981020731,GS-Delayed,2030,CHL-inj max,EUR/ton steel
CH,1423.4383372334348,GS-Delayed,2030,CHL-inj max,EUR/ton steel
CN,251.1246253944079,GS-Delayed,2030,CHL-inj max,EUR/ton steel
EU,498.74657000459666,GS-Delayed,2030,CHL-inj max,EUR/ton steel
GB,376.8218179913185,GS-Delayed,2030,CHL-inj max,EUR/ton steel
ID,384.46334401786584,GS-Delayed,2030,CHL-inj max,EUR/ton steel
IN,222.59475417076862,GS-Delayed,2030,CHL-inj max,EUR/ton steel
JP,506.2765058260587,GS-Delayed,2030,CHL-inj max,EUR/ton steel
KR,376.2467266219426,GS-Delayed,2030,CHL-inj max,EUR/ton steel
MX,499.80852944038617,GS-Delayed,2030,CHL-inj max,EUR/ton steel
NO,664.8337141950178,GS-Delayed,2030,CHL-inj max,EUR/ton steel
RU,355.6704495932779,GS-Delayed,2030,CHL-inj max,EUR/ton steel
TR,321.5555656455934,GS-Delayed,2030,CHL-inj max,EUR/ton steel
US,676.4221170380878,GS-Delayed,2030,CHL-inj max,EUR/ton steel
WA,681.6051644402497,GS-Delayed,2030,CHL-inj max,EUR/ton steel
WE,184.6628051153716,GS-Delayed,2030,CHL-inj max,EUR/ton steel
WF,529.961066211335,GS-Delayed,2030,CHL-inj max,EUR/ton steel
WL,1182.9477671682102,GS-Delayed,2030,CHL-inj max,EUR/ton steel
WM,626.605568774882,GS-Delayed,2030,CHL-inj max,EUR/ton steel
ZA,234.37983270586932,GS-Delayed,2030,CHL-inj max,EUR/ton steel
