Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.3660355712405,GS-Delayed,2030,EE 2022,EUR/ton steel
BR,583.077724111049,GS-Delayed,2030,EE 2022,EUR/ton steel
CA,529.6798298432583,GS-Delayed,2030,EE 2022,EUR/ton steel
CH,1424.8183375623657,GS-Delayed,2030,EE 2022,EUR/ton steel
CN,251.1377424716429,GS-Delayed,2030,EE 2022,EUR/ton steel
EU,497.66801110268705,GS-Delayed,2030,EE 2022,EUR/ton steel
GB,376.9118710166728,GS-Delayed,2030,EE 2022,EUR/ton steel
ID,384.48320343017406,GS-Delayed,2030,EE 2022,EUR/ton steel
IN,222.6063417943203,GS-Delayed,2030,EE 2022,EUR/ton steel
JP,506.35091065858165,GS-Delayed,2030,EE 2022,EUR/ton steel
KR,376.26864366641024,GS-Delayed,2030,EE 2022,EUR/ton steel
MX,499.8190533578045,GS-Delayed,2030,EE 2022,EUR/ton steel
NO,664.9249137783376,GS-Delayed,2030,EE 2022,EUR/ton steel
RU,355.71179504537537,GS-Delayed,2030,EE 2022,EUR/ton steel
TR,321.6262441977824,GS-Delayed,2030,EE 2022,EUR/ton steel
US,676.4572031452584,GS-Delayed,2030,EE 2022,EUR/ton steel
WA,681.6402143061342,GS-Delayed,2030,EE 2022,EUR/ton steel
WE,185.11009913277255,GS-Delayed,2030,EE 2022,EUR/ton steel
WF,529.9926566208452,GS-Delayed,2030,EE 2022,EUR/ton steel
WL,1182.9600673025525,GS-Delayed,2030,EE 2022,EUR/ton steel
WM,626.6026653523971,GS-Delayed,2030,EE 2022,EUR/ton steel
ZA,234.3906887976244,GS-Delayed,2030,EE 2022,EUR/ton steel
