Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.3856934063799,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
BR,583.081477107869,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
CA,529.6936848262967,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
CH,1423.4558500493815,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
CN,251.1338173081826,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
EU,504.28116595010283,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
GB,376.8316370340487,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
ID,384.4691946156877,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
IN,222.59720612034874,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
JP,506.2856602838831,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
KR,376.27471555927804,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
MX,499.8329688426905,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
NO,665.0064810359326,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
RU,355.7031690573955,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
TR,321.7215508226474,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
US,676.5031074410367,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
WA,681.6267895601721,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
WE,184.67071901679472,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
WF,529.9713772341564,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
WL,1182.9643679811168,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
WM,626.930724986853,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
ZA,234.38023368506242,GS-Delayed,2030,H2 100%ELZ,EUR/ton steel
