Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.2899001861398,GS-Delayed,2030,H2 100%SR,EUR/ton steel
BR,583.0611625596782,GS-Delayed,2030,H2 100%SR,EUR/ton steel
CA,529.6203881391573,GS-Delayed,2030,H2 100%SR,EUR/ton steel
CH,1423.414019784358,GS-Delayed,2030,H2 100%SR,EUR/ton steel
CN,251.11186201231254,GS-Delayed,2030,H2 100%SR,EUR/ton steel
EU,491.06151852023976,GS-Delayed,2030,H2 100%SR,EUR/ton steel
GB,376.80818382447126,GS-Delayed,2030,H2 100%SR,EUR/ton steel
ID,384.45522004043505,GS-Delayed,2030,H2 100%SR,EUR/ton steel
IN,222.59134955331356,GS-Delayed,2030,H2 100%SR,EUR/ton steel
JP,506.2637944516571,GS-Delayed,2030,H2 100%SR,EUR/ton steel
KR,376.20786251988886,GS-Delayed,2030,H2 100%SR,EUR/ton steel
MX,499.77459407792634,GS-Delayed,2030,H2 100%SR,EUR/ton steel
NO,664.593819124771,GS-Delayed,2030,H2 100%SR,EUR/ton steel
RU,355.6250169676359,GS-Delayed,2030,H2 100%SR,EUR/ton steel
TR,321.32508473543106,GS-Delayed,2030,H2 100%SR,EUR/ton steel
US,676.3096576631514,GS-Delayed,2030,H2 100%SR,EUR/ton steel
WA,681.5751348834152,GS-Delayed,2030,H2 100%SR,EUR/ton steel
WE,184.6518169696392,GS-Delayed,2030,H2 100%SR,EUR/ton steel
WF,529.9467488620216,GS-Delayed,2030,H2 100%SR,EUR/ton steel
WL,1182.924717776275,GS-Delayed,2030,H2 100%SR,EUR/ton steel
WM,626.1540735508953,GS-Delayed,2030,H2 100%SR,EUR/ton steel
ZA,234.37927226194077,GS-Delayed,2030,H2 100%SR,EUR/ton steel
