Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.52997971059506,GS-H2,2030,Average,EUR/ton steel
BR,583.1120753453829,GS-H2,2030,Average,EUR/ton steel
CA,529.8040859539121,GS-H2,2030,Average,EUR/ton steel
CH,1423.5188558781624,GS-H2,2030,Average,EUR/ton steel
CN,251.16688689882548,GS-H2,2030,Average,EUR/ton steel
EU,524.1929127688212,GS-H2,2030,Average,EUR/ton steel
GB,376.8669628283902,GS-H2,2030,Average,EUR/ton steel
ID,384.49024349094685,GS-H2,2030,Average,EUR/ton steel
IN,222.60602740050743,GS-H2,2030,Average,EUR/ton steel
JP,506.3185951581252,GS-H2,2030,Average,EUR/ton steel
KR,376.37541120425425,GS-H2,2030,Average,EUR/ton steel
MX,499.9208942636119,GS-H2,2030,Average,EUR/ton steel
NO,665.6280421974243,GS-H2,2030,Average,EUR/ton steel
RU,355.82087983660995,GS-H2,2030,Average,EUR/ton steel
TR,322.3187208959201,GS-H2,2030,Average,EUR/ton steel
US,676.7944863477596,GS-H2,2030,Average,EUR/ton steel
WA,681.7045968397948,GS-H2,2030,Average,EUR/ton steel
WE,184.69919002458963,GS-H2,2030,Average,EUR/ton steel
WF,530.0084730145702,GS-H2,2030,Average,EUR/ton steel
WL,1183.0240888789328,GS-H2,2030,Average,EUR/ton steel
WM,628.100532873935,GS-H2,2030,Average,EUR/ton steel
ZA,234.38168613422494,GS-H2,2030,Average,EUR/ton steel
