Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.52997981976847,GS-H2,2030,CCUS min,EUR/ton steel
BR,583.1120753592169,GS-H2,2030,CCUS min,EUR/ton steel
CA,529.804085988853,GS-H2,2030,CCUS min,EUR/ton steel
CH,1423.5188558770612,GS-H2,2030,CCUS min,EUR/ton steel
CN,251.16688690988943,GS-H2,2030,CCUS min,EUR/ton steel
EU,524.1929127068711,GS-H2,2030,CCUS min,EUR/ton steel
GB,376.86696288558625,GS-H2,2030,CCUS min,EUR/ton steel
ID,384.49024359112195,GS-H2,2030,CCUS min,EUR/ton steel
IN,222.60602740624165,GS-H2,2030,CCUS min,EUR/ton steel
JP,506.31859517540244,GS-H2,2030,CCUS min,EUR/ton steel
KR,376.3754112385888,GS-H2,2030,CCUS min,EUR/ton steel
MX,499.9208942600181,GS-H2,2030,CCUS min,EUR/ton steel
NO,665.628042129101,GS-H2,2030,CCUS min,EUR/ton steel
RU,355.820881097465,GS-H2,2030,CCUS min,EUR/ton steel
TR,322.3187217167715,GS-H2,2030,CCUS min,EUR/ton steel
US,676.7944863881843,GS-H2,2030,CCUS min,EUR/ton steel
WA,681.7045954642969,GS-H2,2030,CCUS min,EUR/ton steel
WE,184.6991900308919,GS-H2,2030,CCUS min,EUR/ton steel
WF,530.0084729971852,GS-H2,2030,CCUS min,EUR/ton steel
WL,1183.0240886690854,GS-H2,2030,CCUS min,EUR/ton steel
WM,628.1005332498398,GS-H2,2030,CCUS min,EUR/ton steel
ZA,234.38168953801915,GS-H2,2030,CCUS min,EUR/ton steel
