Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.60264295756116,GS-H2,2030,CHL-inj max,EUR/ton steel
BR,583.1274847511737,GS-H2,2030,CHL-inj max,EUR/ton steel
CA,529.8596844183962,GS-H2,2030,CHL-inj max,EUR/ton steel
CH,1423.5505858192214,GS-H2,2030,CHL-inj max,EUR/ton steel
CN,251.1835408879497,GS-H2,2030,CHL-inj max,EUR/ton steel
EU,534.2205522654428,GS-H2,2030,CHL-inj max,EUR/ton steel
GB,376.88475305886305,GS-H2,2030,CHL-inj max,EUR/ton steel
ID,384.50084376232934,GS-H2,2030,CHL-inj max,EUR/ton steel
IN,222.6104698344699,GS-H2,2030,CHL-inj max,EUR/ton steel
JP,506.33518131737,GS-H2,2030,CHL-inj max,EUR/ton steel
KR,376.42612195281964,GS-H2,2030,CHL-inj max,EUR/ton steel
MX,499.9651738725252,GS-H2,2030,CHL-inj max,EUR/ton steel
NO,665.9410629728325,GS-H2,2030,CHL-inj max,EUR/ton steel
RU,355.8801618450422,GS-H2,2030,CHL-inj max,EUR/ton steel
TR,322.6194569916697,GS-H2,2030,CHL-inj max,EUR/ton steel
US,676.9412260833931,GS-H2,2030,CHL-inj max,EUR/ton steel
WA,681.7437811283002,GS-H2,2030,CHL-inj max,EUR/ton steel
WE,184.71352783055744,GS-H2,2030,CHL-inj max,EUR/ton steel
WF,530.0271546246006,GS-H2,2030,CHL-inj max,EUR/ton steel
WL,1183.054163995588,GS-H2,2030,CHL-inj max,EUR/ton steel
WM,628.6896543509908,GS-H2,2030,CHL-inj max,EUR/ton steel
ZA,234.38241707820873,GS-H2,2030,CHL-inj max,EUR/ton steel
