Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.66869198783644,GS-H2,2030,CHL-inj min,EUR/ton steel
BR,583.1414915754348,GS-H2,2030,CHL-inj min,EUR/ton steel
CA,529.9102222074482,GS-H2,2030,CHL-inj min,EUR/ton steel
CH,1423.579427683212,GS-H2,2030,CHL-inj min,EUR/ton steel
CN,251.19867899627496,GS-H2,2030,CHL-inj min,EUR/ton steel
EU,543.3354516322504,GS-H2,2030,CHL-inj min,EUR/ton steel
GB,376.90092393472264,GS-H2,2030,CHL-inj min,EUR/ton steel
ID,384.5104791255773,GS-H2,2030,CHL-inj min,EUR/ton steel
IN,222.61450791485672,GS-H2,2030,CHL-inj min,EUR/ton steel
JP,506.35025773935547,GS-H2,2030,CHL-inj min,EUR/ton steel
KR,376.4722169527707,GS-H2,2030,CHL-inj min,EUR/ton steel
MX,500.00542303965784,GS-H2,2030,CHL-inj min,EUR/ton steel
NO,666.2255919405955,GS-H2,2030,CHL-inj min,EUR/ton steel
RU,355.93404592924327,GS-H2,2030,CHL-inj min,EUR/ton steel
TR,322.89282098925906,GS-H2,2030,CHL-inj min,EUR/ton steel
US,677.074609105363,GS-H2,2030,CHL-inj min,EUR/ton steel
WA,681.779396181612,GS-H2,2030,CHL-inj min,EUR/ton steel
WE,184.72656010397742,GS-H2,2030,CHL-inj min,EUR/ton steel
WF,530.0441357812234,GS-H2,2030,CHL-inj min,EUR/ton steel
WL,1183.0815022208847,GS-H2,2030,CHL-inj min,EUR/ton steel
WM,629.2251554600945,GS-H2,2030,CHL-inj min,EUR/ton steel
ZA,234.38308164500893,GS-H2,2030,CHL-inj min,EUR/ton steel
