Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.60161506734136,GS-H2,2030,EE 2022,EUR/ton steel
BR,583.1276851910576,GS-H2,2030,EE 2022,EUR/ton steel
CA,529.8600917199533,GS-H2,2030,EE 2022,EUR/ton steel
CH,1424.9291182341626,GS-H2,2030,EE 2022,EUR/ton steel
CN,251.19178726122001,GS-H2,2030,EE 2022,EUR/ton steel
EU,530.1547442686644,GS-H2,2030,EE 2022,EUR/ton steel
GB,376.97001954710737,GS-H2,2030,EE 2022,EUR/ton steel
ID,384.5176729121651,GS-H2,2030,EE 2022,EUR/ton steel
IN,222.62080699647942,GS-H2,2030,EE 2022,EUR/ton steel
JP,506.4051181611775,GS-H2,2030,EE 2022,EUR/ton steel
KR,376.433097898569,GS-H2,2030,EE 2022,EUR/ton steel
MX,499.9626000518546,GS-H2,2030,EE 2022,EUR/ton steel
NO,665.9398034275273,GS-H2,2030,EE 2022,EUR/ton steel
RU,355.90414168666837,GS-H2,2030,EE 2022,EUR/ton steel
TR,322.6011855688813,GS-H2,2030,EE 2022,EUR/ton steel
US,676.9329107365774,GS-H2,2030,EE 2022,EUR/ton steel
WA,681.7673860774606,GS-H2,2030,EE 2022,EUR/ton steel
WE,185.15922825880574,GS-H2,2030,EE 2022,EUR/ton steel
WF,530.0533846210035,GS-H2,2030,EE 2022,EUR/ton steel
WL,1183.057598678192,GS-H2,2030,EE 2022,EUR/ton steel
WM,628.5116200464349,GS-H2,2030,EE 2022,EUR/ton steel
ZA,234.393120752513,GS-H2,2030,EE 2022,EUR/ton steel
