Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.58954687400865,GS-H2,2030,H2 100%ELZ,EUR/ton steel
BR,583.1247075186739,GS-H2,2030,H2 100%ELZ,EUR/ton steel
CA,529.8496639130806,GS-H2,2030,H2 100%ELZ,EUR/ton steel
CH,1423.544867150985,GS-H2,2030,H2 100%ELZ,EUR/ton steel
CN,251.18053935421872,GS-H2,2030,H2 100%ELZ,EUR/ton steel
EU,532.413270214169,GS-H2,2030,H2 100%ELZ,EUR/ton steel
GB,376.8815466991147,GS-H2,2030,H2 100%ELZ,EUR/ton steel
ID,384.49893333755574,GS-H2,2030,H2 100%ELZ,EUR/ton steel
IN,222.60966917390195,GS-H2,2030,H2 100%ELZ,EUR/ton steel
JP,506.33219199577167,GS-H2,2030,H2 100%ELZ,EUR/ton steel
KR,376.41698238936203,GS-H2,2030,H2 100%ELZ,EUR/ton steel
MX,499.95719336057624,GS-H2,2030,H2 100%ELZ,EUR/ton steel
NO,665.8846471959172,GS-H2,2030,H2 100%ELZ,EUR/ton steel
RU,355.86947755648794,GS-H2,2030,H2 100%ELZ,EUR/ton steel
TR,322.5652555388599,GS-H2,2030,H2 100%ELZ,EUR/ton steel
US,676.9147791855335,GS-H2,2030,H2 100%ELZ,EUR/ton steel
WA,681.7367178126664,GS-H2,2030,H2 100%ELZ,EUR/ton steel
WE,184.7109436395586,GS-H2,2030,H2 100%ELZ,EUR/ton steel
WF,530.0237876573051,GS-H2,2030,H2 100%ELZ,EUR/ton steel
WL,1183.0487435029604,GS-H2,2030,H2 100%ELZ,EUR/ton steel
WM,628.5834787480983,GS-H2,2030,H2 100%ELZ,EUR/ton steel
ZA,234.38228721450338,GS-H2,2030,H2 100%ELZ,EUR/ton steel
