Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.5150908067924,GS-H2,2030,H2 100%SR,EUR/ton steel
BR,583.108917902744,GS-H2,2030,H2 100%SR,EUR/ton steel
CA,529.7926936066076,GS-H2,2030,H2 100%SR,EUR/ton steel
CH,1423.512354306344,GS-H2,2030,H2 100%SR,EUR/ton steel
CN,251.16347447352075,GS-H2,2030,H2 100%SR,EUR/ton steel
EU,522.1382182577297,GS-H2,2030,H2 100%SR,EUR/ton steel
GB,376.86331758864634,GS-H2,2030,H2 100%SR,EUR/ton steel
ID,384.48807145669986,GS-H2,2030,H2 100%SR,EUR/ton steel
IN,222.60511713950595,GS-H2,2030,H2 100%SR,EUR/ton steel
JP,506.3151966220344,GS-H2,2030,H2 100%SR,EUR/ton steel
KR,376.36502041755546,GS-H2,2030,H2 100%SR,EUR/ton steel
MX,499.9118212340926,GS-H2,2030,H2 100%SR,EUR/ton steel
NO,665.5639032214722,GS-H2,2030,H2 100%SR,EUR/ton steel
RU,355.80873502214837,GS-H2,2030,H2 100%SR,EUR/ton steel
TR,322.25709951056206,GS-H2,2030,H2 100%SR,EUR/ton steel
US,676.764418987041,GS-H2,2030,H2 100%SR,EUR/ton steel
WA,681.6965691783371,GS-H2,2030,H2 100%SR,EUR/ton steel
WE,184.69625240069317,GS-H2,2030,H2 100%SR,EUR/ton steel
WF,530.0046451106541,GS-H2,2030,H2 100%SR,EUR/ton steel
WL,1183.0179258239098,GS-H2,2030,H2 100%SR,EUR/ton steel
WM,627.9798218500185,GS-H2,2030,H2 100%SR,EUR/ton steel
ZA,234.38153813951246,GS-H2,2030,H2 100%SR,EUR/ton steel
