Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.5834068857865,GS-H2,2030,H2-inj min,EUR/ton steel
BR,583.1234054731729,GS-H2,2030,H2-inj min,EUR/ton steel
CA,529.8449659638961,GS-H2,2030,H2-inj min,EUR/ton steel
CH,1423.5421860700187,GS-H2,2030,H2-inj min,EUR/ton steel
CN,251.1791321383188,GS-H2,2030,H2-inj min,EUR/ton steel
EU,531.5659662796954,GS-H2,2030,H2-inj min,EUR/ton steel
GB,376.88004344917255,GS-H2,2030,H2-inj min,EUR/ton steel
ID,384.498037712875,GS-H2,2030,H2-inj min,EUR/ton steel
IN,222.6092938131674,GS-H2,2030,H2-inj min,EUR/ton steel
JP,506.33079050831816,GS-H2,2030,H2-inj min,EUR/ton steel
KR,376.41269745730256,GS-H2,2030,H2-inj min,EUR/ton steel
MX,499.9534518713819,GS-H2,2030,H2-inj min,EUR/ton steel
NO,665.8581979556795,GS-H2,2030,H2-inj min,EUR/ton steel
RU,355.8644684643204,GS-H2,2030,H2-inj min,EUR/ton steel
TR,322.5398443356129,GS-H2,2030,H2-inj min,EUR/ton steel
US,676.9023800747008,GS-H2,2030,H2-inj min,EUR/ton steel
WA,681.7334084454016,GS-H2,2030,H2-inj min,EUR/ton steel
WE,184.70973222129425,GS-H2,2030,H2-inj min,EUR/ton steel
WF,530.0222091058281,GS-H2,2030,H2-inj min,EUR/ton steel
WL,1183.0462022888014,GS-H2,2030,H2-inj min,EUR/ton steel
WM,628.5336989618015,GS-H2,2030,H2-inj min,EUR/ton steel
ZA,234.38222298008088,GS-H2,2030,H2-inj min,EUR/ton steel
