Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.4799605623033,GS-Mix,2030,CCUS min,EUR/ton steel
BR,583.1014679637484,GS-Mix,2030,CCUS min,EUR/ton steel
CA,529.7658135110452,GS-Mix,2030,CCUS min,EUR/ton steel
CH,1423.497013851747,GS-Mix,2030,CCUS min,EUR/ton steel
CN,251.15542279229524,GS-Mix,2030,CCUS min,EUR/ton steel
EU,517.2901702660663,GS-Mix,2030,CCUS min,EUR/ton steel
GB,376.85471653602724,GS-Mix,2030,CCUS min,EUR/ton steel
ID,384.4829466042193,GS-Mix,2030,CCUS min,EUR/ton steel
IN,222.60296934551542,GS-Mix,2030,CCUS min,EUR/ton steel
JP,506.30717776122674,GS-Mix,2030,CCUS min,EUR/ton steel
KR,376.34050340321033,GS-Mix,2030,CCUS min,EUR/ton steel
MX,499.89041342891744,GS-Mix,2030,CCUS min,EUR/ton steel
NO,665.4125675073889,GS-Mix,2030,CCUS min,EUR/ton steel
RU,355.78007357454675,GS-Mix,2030,CCUS min,EUR/ton steel
TR,322.1117027033571,GS-Mix,2030,CCUS min,EUR/ton steel
US,676.6934749536687,GS-Mix,2030,CCUS min,EUR/ton steel
WA,681.6776230341828,GS-Mix,2030,CCUS min,EUR/ton steel
WE,184.6893201810434,GS-Mix,2030,CCUS min,EUR/ton steel
WF,529.9956131636195,GS-Mix,2030,CCUS min,EUR/ton steel
WL,1183.003385042516,GS-Mix,2030,CCUS min,EUR/ton steel
WM,627.6949997973487,GS-Mix,2030,CCUS min,EUR/ton steel
ZA,234.38118409528545,GS-Mix,2030,CCUS min,EUR/ton steel
