Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.5480612856644,GS-Mix,2030,CHL-inj max,EUR/ton steel
BR,583.1159098341763,GS-Mix,2030,CHL-inj max,EUR/ton steel
CA,529.8179211145126,GS-Mix,2030,CHL-inj max,EUR/ton steel
CH,1423.526751596125,GS-Mix,2030,CHL-inj max,EUR/ton steel
CN,251.17103110014682,GS-Mix,2030,CHL-inj max,EUR/ton steel
EU,526.6881983166072,GS-Mix,2030,CHL-inj max,EUR/ton steel
GB,376.871389762011,GS-Mix,2030,CHL-inj max,EUR/ton steel
ID,384.49288138192384,GS-Mix,2030,CHL-inj max,EUR/ton steel
IN,222.6071328689915,GS-Mix,2030,CHL-inj max,EUR/ton steel
JP,506.322722475975,GS-Mix,2030,CHL-inj max,EUR/ton steel
KR,376.38803014789875,GS-Mix,2030,CHL-inj max,EUR/ton steel
MX,499.9319128430259,GS-Mix,2030,CHL-inj max,EUR/ton steel
NO,665.7059344836995,GS-Mix,2030,CHL-inj max,EUR/ton steel
RU,355.8356318017922,GS-Mix,2030,CHL-inj max,EUR/ton steel
TR,322.39355778375267,GS-Mix,2030,CHL-inj max,EUR/ton steel
US,676.831001101266,GS-Mix,2030,CHL-inj max,EUR/ton steel
WA,681.7143477218465,GS-Mix,2030,CHL-inj max,EUR/ton steel
WE,184.70275792315599,GS-Mix,2030,CHL-inj max,EUR/ton steel
WF,530.0131217716881,GS-Mix,2030,CHL-inj max,EUR/ton steel
WL,1183.0315725133537,GS-Mix,2030,CHL-inj max,EUR/ton steel
WM,628.2471314076329,GS-Mix,2030,CHL-inj max,EUR/ton steel
ZA,234.38186880870447,GS-Mix,2030,CHL-inj max,EUR/ton steel
