Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.6099890227127,GS-Mix,2030,CHL-inj min,EUR/ton steel
BR,583.1290426474698,GS-Mix,2030,CHL-inj min,EUR/ton steel
CA,529.8653054175392,GS-Mix,2030,CHL-inj min,EUR/ton steel
CH,1423.5537937552617,GS-Mix,2030,CHL-inj min,EUR/ton steel
CN,251.18522459403854,GS-Mix,2030,CHL-inj min,EUR/ton steel
EU,535.2343462439314,GS-Mix,2030,CHL-inj min,EUR/ton steel
GB,376.8865516591015,GS-Mix,2030,CHL-inj min,EUR/ton steel
ID,384.5019155577243,GS-Mix,2030,CHL-inj min,EUR/ton steel
IN,222.61091897321856,GS-Mix,2030,CHL-inj min,EUR/ton steel
JP,506.33685812382646,GS-Mix,2030,CHL-inj min,EUR/ton steel
KR,376.4312488237865,GS-Mix,2030,CHL-inj min,EUR/ton steel
MX,499.969650532106,GS-Mix,2030,CHL-inj min,EUR/ton steel
NO,665.972709296304,GS-Mix,2030,CHL-inj min,EUR/ton steel
RU,355.88615502667346,GS-Mix,2030,CHL-inj min,EUR/ton steel
TR,322.64986225296474,GS-Mix,2030,CHL-inj min,EUR/ton steel
US,676.956061309603,GS-Mix,2030,CHL-inj min,EUR/ton steel
WA,681.7477412980122,GS-Mix,2030,CHL-inj min,EUR/ton steel
WE,184.71497750580355,GS-Mix,2030,CHL-inj min,EUR/ton steel
WF,530.0290433316001,GS-Mix,2030,CHL-inj min,EUR/ton steel
WL,1183.0572046213617,GS-Mix,2030,CHL-inj min,EUR/ton steel
WM,628.7492164091,GS-Mix,2030,CHL-inj min,EUR/ton steel
ZA,234.38249386740026,GS-Mix,2030,CHL-inj min,EUR/ton steel
