Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.54403695129344,GS-Mix,2030,EE 2022,EUR/ton steel
BR,583.115474183315,GS-Mix,2030,EE 2022,EUR/ton steel
CA,529.8160338860527,GS-Mix,2030,EE 2022,EUR/ton steel
CH,1424.902042270056,GS-Mix,2030,EE 2022,EUR/ton steel
CN,251.17857815406705,GS-Mix,2030,EE 2022,EUR/ton steel
EU,522.2146469239127,GS-Mix,2030,EE 2022,EUR/ton steel
GB,376.95580744305164,GS-Mix,2030,EE 2022,EUR/ton steel
ID,384.50924814785606,GS-Mix,2030,EE 2022,EUR/ton steel
IN,222.61727154648864,GS-Mix,2030,EE 2022,EUR/ton steel
JP,506.3918692629825,GS-Mix,2030,EE 2022,EUR/ton steel
KR,376.392903562572,GS-Mix,2030,EE 2022,EUR/ton steel
MX,499.92751560900695,GS-Mix,2030,EE 2022,EUR/ton steel
NO,665.6917536723096,GS-Mix,2030,EE 2022,EUR/ton steel
RU,355.857130259556,GS-Mix,2030,EE 2022,EUR/ton steel
TR,322.362900414629,GS-Mix,2030,EE 2022,EUR/ton steel
US,676.8166429187698,GS-Mix,2030,EE 2022,EUR/ton steel
WA,681.7363046798254,GS-Mix,2030,EE 2022,EUR/ton steel
WE,185.147220424996,GS-Mix,2030,EE 2022,EUR/ton steel
WF,530.038542050757,GS-Mix,2030,EE 2022,EUR/ton steel
WL,1183.03376129326,GS-Mix,2030,EE 2022,EUR/ton steel
WM,628.0450505915838,GS-Mix,2030,EE 2022,EUR/ton steel
ZA,234.3925277599034,GS-Mix,2030,EE 2022,EUR/ton steel
