Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.5346338809356,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
BR,583.1130623354267,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
CA,529.8076470424074,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
CH,1423.5208882116485,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
CN,251.1679536000558,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
EU,524.83519036678,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
GB,376.8681022420893,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
ID,384.4909225424584,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
IN,222.60631195712068,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
JP,506.3196575241605,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
KR,376.3786592621494,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
MX,499.9237303915216,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
NO,665.6480913615592,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
RU,355.82467710802115,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
TR,322.33798318647564,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
US,676.8038851376004,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
WA,681.7071050352457,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
WE,184.7001081175089,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
WF,530.0096696125177,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
WL,1183.026014710513,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
WM,628.1382677725475,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
ZA,234.38173472305718,GS-Mix,2030,H2 100%ELZ,EUR/ton steel
