Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.4662945146198,GS-Mix,2030,H2 100%SR,EUR/ton steel
BR,583.0985698662048,GS-Mix,2030,H2 100%SR,EUR/ton steel
CA,529.7553569786942,GS-Mix,2030,H2 100%SR,EUR/ton steel
CH,1423.4910463079395,GS-Mix,2030,H2 100%SR,EUR/ton steel
CN,251.1522906173828,GS-Mix,2030,H2 100%SR,EUR/ton steel
EU,515.4042480279137,GS-Mix,2030,H2 100%SR,EUR/ton steel
GB,376.8513706975372,GS-Mix,2030,H2 100%SR,EUR/ton steel
ID,384.4809529252477,GS-Mix,2030,H2 100%SR,EUR/ton steel
IN,222.6021338584786,GS-Mix,2030,H2 100%SR,EUR/ton steel
JP,506.3040583562086,GS-Mix,2030,H2 100%SR,EUR/ton steel
KR,376.3309660965276,GS-Mix,2030,H2 100%SR,EUR/ton steel
MX,499.8820856470098,GS-Mix,2030,H2 100%SR,EUR/ton steel
NO,665.353696955817,GS-Mix,2030,H2 100%SR,EUR/ton steel
RU,355.76892500194333,GS-Mix,2030,H2 100%SR,EUR/ton steel
TR,322.055143055136,GS-Mix,2030,H2 100%SR,EUR/ton steel
US,676.6658773263143,GS-Mix,2030,H2 100%SR,EUR/ton steel
WA,681.6702539869439,GS-Mix,2030,H2 100%SR,EUR/ton steel
WE,184.6866238185394,GS-Mix,2030,H2 100%SR,EUR/ton steel
WF,529.9920996708033,GS-Mix,2030,H2 100%SR,EUR/ton steel
WL,1182.997728361353,GS-Mix,2030,H2 100%SR,EUR/ton steel
WM,627.5842044841334,GS-Mix,2030,H2 100%SR,EUR/ton steel
ZA,234.381045093272,GS-Mix,2030,H2 100%SR,EUR/ton steel
