Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.5289447156638,GS-Mix,2030,H2-inj min,EUR/ton steel
BR,583.1118558954316,GS-Mix,2030,H2-inj min,EUR/ton steel
CA,529.8032941412237,GS-Mix,2030,H2-inj min,EUR/ton steel
CH,1423.5184039729602,GS-Mix,2030,H2-inj min,EUR/ton steel
CN,251.166649729337,GS-Mix,2030,H2-inj min,EUR/ton steel
EU,524.0501036118081,GS-Mix,2030,H2-inj min,EUR/ton steel
GB,376.86670940853617,GS-Mix,2030,H2-inj min,EUR/ton steel
ID,384.490092537633,GS-Mix,2030,H2-inj min,EUR/ton steel
IN,222.60596412949212,GS-Mix,2030,H2-inj min,EUR/ton steel
JP,506.3183589660244,GS-Mix,2030,H2-inj min,EUR/ton steel
KR,376.37468900847404,GS-Mix,2030,H2-inj min,EUR/ton steel
MX,499.9202636420064,GS-Mix,2030,H2-inj min,EUR/ton steel
NO,665.6235842620325,GS-Mix,2030,H2-inj min,EUR/ton steel
RU,355.8200375623736,GS-Mix,2030,H2-inj min,EUR/ton steel
TR,322.31443792734103,GS-Mix,2030,H2-inj min,EUR/ton steel
US,676.7923965642266,GS-Mix,2030,H2-inj min,EUR/ton steel
WA,681.7040388216038,GS-Mix,2030,H2-inj min,EUR/ton steel
WE,184.69898595030497,GS-Mix,2030,H2-inj min,EUR/ton steel
WF,530.0082069397857,GS-Mix,2030,H2-inj min,EUR/ton steel
WL,1183.0236600698136,GS-Mix,2030,H2-inj min,EUR/ton steel
WM,628.092144230224,GS-Mix,2030,H2-inj min,EUR/ton steel
ZA,234.38167824294968,GS-Mix,2030,H2-inj min,EUR/ton steel
