Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.30939236052683,GS-Scrap,2050,CCUS max,EUR/ton steel
BR,583.2772900301115,GS-Scrap,2050,CCUS max,EUR/ton steel
CA,530.4002127774124,GS-Scrap,2050,CCUS max,EUR/ton steel
CH,1423.5355300049976,GS-Scrap,2050,CCUS max,EUR/ton steel
CN,251.34393165666333,GS-Scrap,2050,CCUS max,EUR/ton steel
EU,632.4693900783758,GS-Scrap,2050,CCUS max,EUR/ton steel
GB,377.0388594345093,GS-Scrap,2050,CCUS max,EUR/ton steel
ID,384.60087877133805,GS-Scrap,2050,CCUS max,EUR/ton steel
IN,222.65173458373323,GS-Scrap,2050,CCUS max,EUR/ton steel
JP,506.48662208290807,GS-Scrap,2050,CCUS max,EUR/ton steel
KR,376.9181897710508,GS-Scrap,2050,CCUS max,EUR/ton steel
MX,500.39626206668015,GS-Scrap,2050,CCUS max,EUR/ton steel
NO,668.9593650436761,GS-Scrap,2050,CCUS max,EUR/ton steel
RU,356.4536916855781,GS-Scrap,2050,CCUS max,EUR/ton steel
TR,325.5498918842968,GS-Scrap,2050,CCUS max,EUR/ton steel
US,678.370486157345,GS-Scrap,2050,CCUS max,EUR/ton steel
WA,682.1194882476748,GS-Scrap,2050,CCUS max,EUR/ton steel
WE,184.7794626985982,GS-Scrap,2050,CCUS max,EUR/ton steel
WF,530.2041161772545,GS-Scrap,2050,CCUS max,EUR/ton steel
WL,1183.3460539194452,GS-Scrap,2050,CCUS max,EUR/ton steel
WM,634.4509299076504,GS-Scrap,2050,CCUS max,EUR/ton steel
ZA,234.38758109050934,GS-Scrap,2050,CCUS max,EUR/ton steel
