Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.3093923758115,GS-Scrap,2050,CCUS min,EUR/ton steel
BR,583.277290023624,GS-Scrap,2050,CCUS min,EUR/ton steel
CA,530.400212721663,GS-Scrap,2050,CCUS min,EUR/ton steel
CH,1423.535530018443,GS-Scrap,2050,CCUS min,EUR/ton steel
CN,251.34393167038772,GS-Scrap,2050,CCUS min,EUR/ton steel
EU,632.4693900808196,GS-Scrap,2050,CCUS min,EUR/ton steel
GB,377.0388593929032,GS-Scrap,2050,CCUS min,EUR/ton steel
ID,384.6008787020373,GS-Scrap,2050,CCUS min,EUR/ton steel
IN,222.65173456715166,GS-Scrap,2050,CCUS min,EUR/ton steel
JP,506.4866220847743,GS-Scrap,2050,CCUS min,EUR/ton steel
KR,376.91818975746526,GS-Scrap,2050,CCUS min,EUR/ton steel
MX,500.396262020885,GS-Scrap,2050,CCUS min,EUR/ton steel
NO,668.959364947247,GS-Scrap,2050,CCUS min,EUR/ton steel
RU,356.4536910852453,GS-Scrap,2050,CCUS min,EUR/ton steel
TR,325.549892199487,GS-Scrap,2050,CCUS min,EUR/ton steel
US,678.370486324037,GS-Scrap,2050,CCUS min,EUR/ton steel
WA,682.1194885459619,GS-Scrap,2050,CCUS min,EUR/ton steel
WE,184.77946309218737,GS-Scrap,2050,CCUS min,EUR/ton steel
WF,530.2041092755329,GS-Scrap,2050,CCUS min,EUR/ton steel
WL,1183.3460543746917,GS-Scrap,2050,CCUS min,EUR/ton steel
WM,634.4509296741032,GS-Scrap,2050,CCUS min,EUR/ton steel
ZA,234.38758128090137,GS-Scrap,2050,CCUS min,EUR/ton steel
