Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.4746743803299,GS-Scrap,2050,CHL-inj max,EUR/ton steel
BR,583.3123405402433,GS-Scrap,2050,CHL-inj max,EUR/ton steel
CA,530.5266781220636,GS-Scrap,2050,CHL-inj max,EUR/ton steel
CH,1423.6066805069797,GS-Scrap,2050,CHL-inj max,EUR/ton steel
CN,251.3818083466424,GS-Scrap,2050,CHL-inj max,EUR/ton steel
EU,655.280857842468,GS-Scrap,2050,CHL-inj max,EUR/ton steel
GB,377.07926573967455,GS-Scrap,2050,CHL-inj max,EUR/ton steel
ID,384.6249808130437,GS-Scrap,2050,CHL-inj max,EUR/ton steel
IN,222.66183334807647,GS-Scrap,2050,CHL-inj max,EUR/ton steel
JP,506.5243182184356,GS-Scrap,2050,CHL-inj max,EUR/ton steel
KR,377.0335343821654,GS-Scrap,2050,CHL-inj max,EUR/ton steel
MX,500.4969831678911,GS-Scrap,2050,CHL-inj max,EUR/ton steel
NO,669.6712896213166,GS-Scrap,2050,CHL-inj max,EUR/ton steel
RU,356.58852253774336,GS-Scrap,2050,CHL-inj max,EUR/ton steel
TR,326.23397457264514,GS-Scrap,2050,CHL-inj max,EUR/ton steel
US,678.704271553998,GS-Scrap,2050,CHL-inj max,EUR/ton steel
WA,682.2085995396089,GS-Scrap,2050,CHL-inj max,EUR/ton steel
WE,184.81184391285782,GS-Scrap,2050,CHL-inj max,EUR/ton steel
WF,530.2465868280599,GS-Scrap,2050,CHL-inj max,EUR/ton steel
WL,1183.4144638229457,GS-Scrap,2050,CHL-inj max,EUR/ton steel
WM,635.791063427592,GS-Scrap,2050,CHL-inj max,EUR/ton steel
ZA,234.38923659753607,GS-Scrap,2050,CHL-inj max,EUR/ton steel
