Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.6239305301924,GS-Scrap,2050,CHL-inj min,EUR/ton steel
BR,583.3439925196537,GS-Scrap,2050,CHL-inj min,EUR/ton steel
CA,530.6408813234657,GS-Scrap,2050,CHL-inj min,EUR/ton steel
CH,1423.6709321228402,GS-Scrap,2050,CHL-inj min,EUR/ton steel
CN,251.41601247872694,GS-Scrap,2050,CHL-inj min,EUR/ton steel
EU,675.8805059890634,GS-Scrap,2050,CHL-inj min,EUR/ton steel
GB,377.11575426900384,GS-Scrap,2050,CHL-inj min,EUR/ton steel
ID,384.64674595951385,GS-Scrap,2050,CHL-inj min,EUR/ton steel
IN,222.67095290846115,GS-Scrap,2050,CHL-inj min,EUR/ton steel
JP,506.5583592686163,GS-Scrap,2050,CHL-inj min,EUR/ton steel
KR,377.13769516600394,GS-Scrap,2050,CHL-inj min,EUR/ton steel
MX,500.5879382396943,GS-Scrap,2050,CHL-inj min,EUR/ton steel
NO,670.3141852259575,GS-Scrap,2050,CHL-inj min,EUR/ton steel
RU,356.7102806633026,GS-Scrap,2050,CHL-inj min,EUR/ton steel
TR,326.8517284282113,GS-Scrap,2050,CHL-inj min,EUR/ton steel
US,679.0056926522432,GS-Scrap,2050,CHL-inj min,EUR/ton steel
WA,682.2890714634827,GS-Scrap,2050,CHL-inj min,EUR/ton steel
WE,184.8410854763654,GS-Scrap,2050,CHL-inj min,EUR/ton steel
WF,530.2849502494901,GS-Scrap,2050,CHL-inj min,EUR/ton steel
WL,1183.47624101579,GS-Scrap,2050,CHL-inj min,EUR/ton steel
WM,637.0012556268925,GS-Scrap,2050,CHL-inj min,EUR/ton steel
ZA,234.390734356866,GS-Scrap,2050,CHL-inj min,EUR/ton steel
