Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.49863054731645,GS-Scrap,2050,EE 2022,EUR/ton steel
BR,583.3179218698339,GS-Scrap,2050,EE 2022,EUR/ton steel
CA,530.546474516516,GS-Scrap,2050,EE 2022,EUR/ton steel
CH,1425.3509374343764,GS-Scrap,2050,EE 2022,EUR/ton steel
CN,251.39757345923968,GS-Scrap,2050,EE 2022,EUR/ton steel
EU,653.8543794721469,GS-Scrap,2050,EE 2022,EUR/ton steel
GB,377.19143195817884,GS-Scrap,2050,EE 2022,EUR/ton steel
ID,384.64892187532894,GS-Scrap,2050,EE 2022,EUR/ton steel
IN,222.6758860515817,GS-Scrap,2050,EE 2022,EUR/ton steel
JP,506.61152385182686,GS-Scrap,2050,EE 2022,EUR/ton steel
KR,377.0592896189113,GS-Scrap,2050,EE 2022,EUR/ton steel
MX,500.5091820882935,GS-Scrap,2050,EE 2022,EUR/ton steel
NO,669.8041953796726,GS-Scrap,2050,EE 2022,EUR/ton steel
RU,356.636538546922,GS-Scrap,2050,EE 2022,EUR/ton steel
TR,326.313472252374,GS-Scrap,2050,EE 2022,EUR/ton steel
US,678.7442611992225,GS-Scrap,2050,EE 2022,EUR/ton steel
WA,682.2516176113766,GS-Scrap,2050,EE 2022,EUR/ton steel
WE,185.3462986264278,GS-Scrap,2050,EE 2022,EUR/ton steel
WF,530.2846184031883,GS-Scrap,2050,EE 2022,EUR/ton steel
WL,1183.4289691453318,GS-Scrap,2050,EE 2022,EUR/ton steel
WM,635.7803424532007,GS-Scrap,2050,EE 2022,EUR/ton steel
ZA,234.4023929885666,GS-Scrap,2050,EE 2022,EUR/ton steel
