Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.2752431418114,GS-Scrap,2050,EE clean,EUR/ton steel
BR,583.2699575291399,GS-Scrap,2050,EE clean,EUR/ton steel
CA,530.3737788159201,GS-Scrap,2050,EE clean,EUR/ton steel
CH,1423.1160834702737,GS-Scrap,2050,EE clean,EUR/ton steel
CN,251.33411476772784,GS-Scrap,2050,EE clean,EUR/ton steel
EU,628.6518436838409,GS-Scrap,2050,EE clean,EUR/ton steel
GB,377.0068418797776,GS-Scrap,2050,EE clean,EUR/ton steel
ID,384.5920631715987,GS-Scrap,2050,EE clean,EUR/ton steel
IN,222.64721698402775,GS-Scrap,2050,EE clean,EUR/ton steel
JP,506.4664759826744,GS-Scrap,2050,EE clean,EUR/ton steel
KR,376.8929021224562,GS-Scrap,2050,EE clean,EUR/ton steel
MX,500.37596175930656,GS-Scrap,2050,EE clean,EUR/ton steel
NO,668.7794381535148,GS-Scrap,2050,EE clean,EUR/ton steel
RU,356.4220166583928,GS-Scrap,2050,EE clean,EUR/ton steel
TR,325.41524659236734,GS-Scrap,2050,EE clean,EUR/ton steel
US,678.3040422224723,GS-Scrap,2050,EE clean,EUR/ton steel
WA,682.0943173309289,GS-Scrap,2050,EE clean,EUR/ton steel
WE,184.68083808422568,GS-Scrap,2050,EE clean,EUR/ton steel
WF,530.1893918154846,GS-Scrap,2050,EE clean,EUR/ton steel
WL,1183.331123557721,GS-Scrap,2050,EE clean,EUR/ton steel
WM,634.2131220887627,GS-Scrap,2050,EE clean,EUR/ton steel
ZA,234.38480300102296,GS-Scrap,2050,EE clean,EUR/ton steel
