Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.3112458362149,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
BR,583.2776830778917,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
CA,530.4016309601609,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
CH,1423.5363279043577,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
CN,251.34435641122164,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
EU,632.7251988197035,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
GB,377.03931251537455,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
ID,384.6011490481798,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
IN,222.65184782178608,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
JP,506.4870447984019,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
KR,376.91948322813937,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
MX,500.3973915019242,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
NO,668.9673485999656,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
RU,356.4552032023189,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
TR,325.55756320062727,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
US,678.3742293550522,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
WA,682.1204885954203,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
WE,184.77982628057674,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
WF,530.2045851165481,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
WL,1183.3468217900565,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
WM,634.4659579379021,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
ZA,234.3875988313586,GS-Scrap,2050,H2 100%ELZ,EUR/ton steel
