Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.30892899627764,GS-Scrap,2050,H2 100%SR,EUR/ton steel
BR,583.2771917521953,GS-Scrap,2050,H2 100%SR,EUR/ton steel
CA,530.3998582600118,GS-Scrap,2050,H2 100%SR,EUR/ton steel
CH,1423.535330545328,GS-Scrap,2050,H2 100%SR,EUR/ton steel
CN,251.34382547852502,GS-Scrap,2050,H2 100%SR,EUR/ton steel
EU,632.4054382489487,GS-Scrap,2050,H2 100%SR,EUR/ton steel
GB,377.0387461322951,GS-Scrap,2050,H2 100%SR,EUR/ton steel
ID,384.6008112268044,GS-Scrap,2050,H2 100%SR,EUR/ton steel
IN,222.65170626230076,GS-Scrap,2050,H2 100%SR,EUR/ton steel
JP,506.48651640795396,GS-Scrap,2050,H2 100%SR,EUR/ton steel
KR,376.91786636067303,GS-Scrap,2050,H2 100%SR,EUR/ton steel
MX,500.3959796064945,GS-Scrap,2050,H2 100%SR,EUR/ton steel
NO,668.9573692053816,GS-Scrap,2050,H2 100%SR,EUR/ton steel
RU,356.4533136318368,GS-Scrap,2050,H2 100%SR,EUR/ton steel
TR,325.54797369940985,GS-Scrap,2050,H2 100%SR,EUR/ton steel
US,678.3695506502607,GS-Scrap,2050,H2 100%SR,EUR/ton steel
WA,682.1192394259972,GS-Scrap,2050,H2 100%SR,EUR/ton steel
WE,184.77937220086537,GS-Scrap,2050,H2 100%SR,EUR/ton steel
WF,530.2039961015944,GS-Scrap,2050,H2 100%SR,EUR/ton steel
WL,1183.3458638419556,GS-Scrap,2050,H2 100%SR,EUR/ton steel
WM,634.4471717360931,GS-Scrap,2050,H2 100%SR,EUR/ton steel
ZA,234.38757679697292,GS-Scrap,2050,H2 100%SR,EUR/ton steel
