Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.31114252950016,GS-Scrap,2050,H2-inj min,EUR/ton steel
BR,583.2776611318944,GS-Scrap,2050,H2-inj min,EUR/ton steel
CA,530.4015518426006,GS-Scrap,2050,H2-inj min,EUR/ton steel
CH,1423.5362833526258,GS-Scrap,2050,H2-inj min,EUR/ton steel
CN,251.34433272092775,GS-Scrap,2050,H2-inj min,EUR/ton steel
EU,632.710921095026,GS-Scrap,2050,H2-inj min,EUR/ton steel
GB,377.03928725422855,GS-Scrap,2050,H2-inj min,EUR/ton steel
ID,384.60113391105403,GS-Scrap,2050,H2-inj min,EUR/ton steel
IN,222.65184151684548,GS-Scrap,2050,H2-inj min,EUR/ton steel
JP,506.48702123050174,GS-Scrap,2050,H2-inj min,EUR/ton steel
KR,376.9194110374135,GS-Scrap,2050,H2-inj min,EUR/ton steel
MX,500.3973283612993,GS-Scrap,2050,H2-inj min,EUR/ton steel
NO,668.9669030027048,GS-Scrap,2050,H2-inj min,EUR/ton steel
RU,356.455118858742,GS-Scrap,2050,H2-inj min,EUR/ton steel
TR,325.557135247709,GS-Scrap,2050,H2-inj min,EUR/ton steel
US,678.3740203919629,GS-Scrap,2050,H2-inj min,EUR/ton steel
WA,682.120431701176,GS-Scrap,2050,H2-inj min,EUR/ton steel
WE,184.77980666948318,GS-Scrap,2050,H2-inj min,EUR/ton steel
WF,530.2045594784798,GS-Scrap,2050,H2-inj min,EUR/ton steel
WL,1183.3467797931994,GS-Scrap,2050,H2-inj min,EUR/ton steel
WM,634.465117975624,GS-Scrap,2050,H2-inj min,EUR/ton steel
ZA,234.38759509121695,GS-Scrap,2050,H2-inj min,EUR/ton steel
