Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.49016426571905,GS-Tech,2050,Average,EUR/ton steel
BR,583.3156254096053,GS-Tech,2050,Average,EUR/ton steel
CA,530.5385302603296,GS-Tech,2050,Average,EUR/ton steel
CH,1423.6133485331009,GS-Tech,2050,Average,EUR/ton steel
CN,251.38535806299254,GS-Tech,2050,Average,EUR/ton steel
EU,657.4186993408332,GS-Tech,2050,Average,EUR/ton steel
GB,377.083052545096,GS-Tech,2050,Average,EUR/ton steel
ID,384.6272395862681,GS-Tech,2050,Average,EUR/ton steel
IN,222.66277978244347,GS-Tech,2050,Average,EUR/ton steel
JP,506.52785098810443,GS-Tech,2050,Average,EUR/ton steel
KR,377.04434420355363,GS-Tech,2050,Average,EUR/ton steel
MX,500.50642254555873,GS-Tech,2050,Average,EUR/ton steel
NO,669.7380096093664,GS-Tech,2050,Average,EUR/ton steel
RU,356.60115809361594,GS-Tech,2050,Average,EUR/ton steel
TR,326.2980851486491,GS-Tech,2050,Average,EUR/ton steel
US,678.7355530746466,GS-Tech,2050,Average,EUR/ton steel
WA,682.2169525126084,GS-Tech,2050,Average,EUR/ton steel
WE,184.81487908035447,GS-Tech,2050,Average,EUR/ton steel
WF,530.2505657525239,GS-Tech,2050,Average,EUR/ton steel
WL,1183.4208752889983,GS-Tech,2050,Average,EUR/ton steel
WM,635.916657436629,GS-Tech,2050,Average,EUR/ton steel
ZA,234.38939320074329,GS-Tech,2050,Average,EUR/ton steel
