Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.49016427801433,GS-Tech,2050,CCUS max,EUR/ton steel
BR,583.3156254050915,GS-Tech,2050,CCUS max,EUR/ton steel
CA,530.5385302382543,GS-Tech,2050,CCUS max,EUR/ton steel
CH,1423.6133485109278,GS-Tech,2050,CCUS max,EUR/ton steel
CN,251.38535807755585,GS-Tech,2050,CCUS max,EUR/ton steel
EU,657.418699291776,GS-Tech,2050,CCUS max,EUR/ton steel
GB,377.08305258736823,GS-Tech,2050,CCUS max,EUR/ton steel
ID,384.62723965816934,GS-Tech,2050,CCUS max,EUR/ton steel
IN,222.66277976569629,GS-Tech,2050,CCUS max,EUR/ton steel
JP,506.5278510201225,GS-Tech,2050,CCUS max,EUR/ton steel
KR,377.0443442495728,GS-Tech,2050,CCUS max,EUR/ton steel
MX,500.50642262796515,GS-Tech,2050,CCUS max,EUR/ton steel
NO,669.7380095571634,GS-Tech,2050,CCUS max,EUR/ton steel
RU,356.6011584944314,GS-Tech,2050,CCUS max,EUR/ton steel
TR,326.29808540518803,GS-Tech,2050,CCUS max,EUR/ton steel
US,678.735553022667,GS-Tech,2050,CCUS max,EUR/ton steel
WA,682.2169500779913,GS-Tech,2050,CCUS max,EUR/ton steel
WE,184.81487853364948,GS-Tech,2050,CCUS max,EUR/ton steel
WF,530.2505685724152,GS-Tech,2050,CCUS max,EUR/ton steel
WL,1183.4208753066039,GS-Tech,2050,CCUS max,EUR/ton steel
WM,635.9166570278936,GS-Tech,2050,CCUS max,EUR/ton steel
ZA,234.38939305975043,GS-Tech,2050,CCUS max,EUR/ton steel
