Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.6879958622465,GS-Tech,2050,CHL-inj max,EUR/ton steel
BR,583.3575785319869,GS-Tech,2050,CHL-inj max,EUR/ton steel
CA,530.689900842711,GS-Tech,2050,CHL-inj max,EUR/ton steel
CH,1423.6985108838069,GS-Tech,2050,CHL-inj max,EUR/ton steel
CN,251.43069395491037,GS-Tech,2050,CHL-inj max,EUR/ton steel
EU,684.722509086493,GS-Tech,2050,CHL-inj max,EUR/ton steel
GB,377.1314162469932,GS-Tech,2050,CHL-inj max,EUR/ton steel
ID,384.6560882567399,GS-Tech,2050,CHL-inj max,EUR/ton steel
IN,222.67486732815223,GS-Tech,2050,CHL-inj max,EUR/ton steel
JP,506.5729707608555,GS-Tech,2050,CHL-inj max,EUR/ton steel
KR,377.1824042012477,GS-Tech,2050,CHL-inj max,EUR/ton steel
MX,500.6269791198014,GS-Tech,2050,CHL-inj max,EUR/ton steel
NO,670.5901361735707,GS-Tech,2050,CHL-inj max,EUR/ton steel
RU,356.7625422878583,GS-Tech,2050,CHL-inj max,EUR/ton steel
TR,327.1168868275185,GS-Tech,2050,CHL-inj max,EUR/ton steel
US,679.1350716684735,GS-Tech,2050,CHL-inj max,EUR/ton steel
WA,682.3236117968839,GS-Tech,2050,CHL-inj max,EUR/ton steel
WE,184.85363629835624,GS-Tech,2050,CHL-inj max,EUR/ton steel
WF,530.3014119451533,GS-Tech,2050,CHL-inj max,EUR/ton steel
WL,1183.5027565742193,GS-Tech,2050,CHL-inj max,EUR/ton steel
WM,637.5207081959962,GS-Tech,2050,CHL-inj max,EUR/ton steel
ZA,234.39137493411647,GS-Tech,2050,CHL-inj max,EUR/ton steel
