Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.86635955086115,GS-Tech,2050,CHL-inj min,EUR/ton steel
BR,583.3954032122346,GS-Tech,2050,CHL-inj min,EUR/ton steel
CA,530.8263757089627,GS-Tech,2050,CHL-inj min,EUR/ton steel
CH,1423.77529273581,GS-Tech,2050,CHL-inj min,EUR/ton steel
CN,251.47156848720806,GS-Tech,2050,CHL-inj min,EUR/ton steel
EU,709.339450440442,GS-Tech,2050,CHL-inj min,EUR/ton steel
GB,377.17502073286033,GS-Tech,2050,CHL-inj min,EUR/ton steel
ID,384.6820978760574,GS-Tech,2050,CHL-inj min,EUR/ton steel
IN,222.68576537971302,GS-Tech,2050,CHL-inj min,EUR/ton steel
JP,506.6136504376078,GS-Tech,2050,CHL-inj min,EUR/ton steel
KR,377.30687810649266,GS-Tech,2050,CHL-inj min,EUR/ton steel
MX,500.73567210777156,GS-Tech,2050,CHL-inj min,EUR/ton steel
NO,671.3584077376165,GS-Tech,2050,CHL-inj min,EUR/ton steel
RU,356.9080454807122,GS-Tech,2050,CHL-inj min,EUR/ton steel
TR,327.8551133056045,GS-Tech,2050,CHL-inj min,EUR/ton steel
US,679.495275114805,GS-Tech,2050,CHL-inj min,EUR/ton steel
WA,682.4197757522024,GS-Tech,2050,CHL-inj min,EUR/ton steel
WE,184.88857993026883,GS-Tech,2050,CHL-inj min,EUR/ton steel
WF,530.3472522303599,GS-Tech,2050,CHL-inj min,EUR/ton steel
WL,1183.5765806250633,GS-Tech,2050,CHL-inj min,EUR/ton steel
WM,638.966911842163,GS-Tech,2050,CHL-inj min,EUR/ton steel
ZA,234.3931654284985,GS-Tech,2050,CHL-inj min,EUR/ton steel
